,interval_start,annotation
0,0.0,no_tremor
1,0.5,no_tremor
2,1.0,no_tremor
3,1.5,no_tremor
4,2.0,no_tremor
5,2.5,no_tremor
6,3.0,no_tremor
7,3.5,no_tremor
8,4.0,no_tremor
9,4.5,no_tremor
10,5.0,no_tremor
11,5.5,no_tremor
12,6.0,no_tremor
13,6.5,no_tremor
14,7.0,no_tremor
15,7.5,no_tremor
16,8.0,tremor
17,8.5,no_tremor
18,9.0,no_tremor
19,9.5,no_tremor
20,10.0,no_tremor
21,10.5,no_tremor
22,11.0,no_tremor
23,11.5,no_tremor
24,12.0,tremor
25,12.5,no_tremor
26,13.0,no_tremor
27,13.5,no_tremor
28,14.0,no_tremor
29,14.5,no_tremor
30,15.0,no_tremor
31,15.5,no_tremor
32,16.0,no_tremor
33,16.5,no_tremor
34,17.0,no_tremor
35,17.5,no_tremor
2366,18.0,no_tremor.flat
36,18.5,no_tremor
37,19.0,no_tremor
38,19.5,no_tremor
39,20.0,no_tremor
40,20.5,no_tremor
41,21.0,no_tremor
42,21.5,no_tremor
43,22.0,no_tremor
44,22.5,no_tremor
45,23.0,no_tremor
2373,23.5,no_tremor.flat
46,24.0,no_tremor
2374,24.5,no_tremor.flat
47,25.0,no_tremor
48,25.5,no_tremor
49,26.0,no_tremor
50,26.5,no_tremor
51,27.0,no_tremor
52,27.5,no_tremor
53,28.0,no_tremor
54,28.5,no_tremor
55,29.0,no_tremor
56,29.5,no_tremor
57,30.0,no_tremor
2378,30.5,no_tremor.flat
58,31.0,no_tremor
59,31.5,no_tremor
60,32.0,no_tremor
61,32.5,no_tremor
62,33.0,no_tremor
2379,33.5,no_tremor.flat
63,34.0,no_tremor
64,34.5,no_tremor
65,35.0,no_tremor
2381,35.5,no_tremor.flat
66,36.0,no_tremor
67,36.5,no_tremor
68,37.0,no_tremor
69,37.5,no_tremor
70,38.0,no_tremor
71,38.5,no_tremor
72,39.0,no_tremor
73,39.5,no_tremor
74,40.0,no_tremor
75,40.5,no_tremor
76,41.0,no_tremor
77,41.5,no_tremor
78,42.0,no_tremor
79,42.5,no_tremor
80,43.0,no_tremor
81,43.5,no_tremor
82,44.0,no_tremor
83,44.5,no_tremor
84,45.0,no_tremor
85,45.5,no_tremor
86,46.0,no_tremor
87,46.5,no_tremor
88,47.0,no_tremor
89,47.5,no_tremor
90,48.0,no_tremor
91,48.5,no_tremor
92,49.0,no_tremor
93,49.5,no_tremor
94,50.0,no_tremor
95,50.5,no_tremor
96,51.0,no_tremor
97,51.5,no_tremor
98,52.0,no_tremor
99,52.5,no_tremor
100,53.0,no_tremor
101,53.5,no_tremor
102,54.0,no_tremor
103,54.5,no_tremor
104,55.0,no_tremor
105,55.5,no_tremor
106,56.0,no_tremor
107,56.5,no_tremor
108,57.0,no_tremor
109,57.5,no_tremor
110,58.0,no_tremor
111,58.5,no_tremor
112,59.0,no_tremor
113,59.5,no_tremor
114,60.0,no_tremor
115,60.5,no_tremor
116,61.0,no_tremor
117,61.5,no_tremor
118,62.0,no_tremor
119,62.5,no_tremor
120,63.0,no_tremor
121,63.5,no_tremor
122,64.0,no_tremor
123,64.5,no_tremor
124,65.0,no_tremor
125,65.5,no_tremor
126,66.0,no_tremor
127,66.5,no_tremor
128,67.0,no_tremor
129,67.5,no_tremor
130,68.0,no_tremor
131,68.5,no_tremor
132,69.0,no_tremor
133,69.5,no_tremor
134,70.0,no_tremor
135,70.5,no_tremor
136,71.0,no_tremor
137,71.5,no_tremor
138,72.0,no_tremor
139,72.5,no_tremor
140,73.0,no_tremor
141,73.5,no_tremor
142,74.0,no_tremor
143,74.5,no_tremor
144,75.0,tremor
145,75.5,no_tremor
146,76.0,tremor
147,76.5,tremor
148,77.0,tremor
149,77.5,tremor
150,78.0,tremor
151,78.5,tremor
152,79.0,tremor
153,79.5,tremor
154,80.0,tremor
155,80.5,no_tremor
156,81.0,no_tremor
157,81.5,no_tremor
158,82.0,no_tremor
159,82.5,no_tremor
160,83.0,no_tremor
161,83.5,no_tremor
162,84.0,no_tremor
163,84.5,tremor
164,85.0,tremor
165,85.5,tremor
166,86.0,tremor
167,86.5,no_tremor
168,87.0,no_tremor
169,87.5,no_tremor
170,88.0,no_tremor
171,88.5,no_tremor
172,89.0,no_tremor
173,89.5,tremor
174,90.0,tremor
175,90.5,no_tremor
176,91.0,no_tremor
177,91.5,no_tremor
178,92.0,no_tremor
179,92.5,no_tremor
180,93.0,no_tremor
181,93.5,no_tremor
182,94.0,no_tremor
183,94.5,no_tremor
184,95.0,tremor
185,95.5,tremor
186,96.0,tremor
187,96.5,no_tremor
188,97.0,tremor
189,97.5,tremor
190,98.0,tremor
191,98.5,tremor
192,99.0,no_tremor
193,99.5,tremor
194,100.0,tremor
195,100.5,no_tremor
196,101.0,no_tremor
197,101.5,no_tremor
198,102.0,no_tremor
199,102.5,no_tremor
200,103.0,no_tremor
201,103.5,no_tremor
202,104.0,no_tremor
203,104.5,no_tremor
204,105.0,no_tremor
205,105.5,no_tremor
206,106.0,no_tremor
207,106.5,no_tremor
208,107.0,no_tremor
209,107.5,no_tremor
210,108.0,no_tremor
211,108.5,no_tremor
212,109.0,no_tremor
213,109.5,no_tremor
214,110.0,tremor
215,110.5,tremor
216,111.0,no_tremor
217,111.5,no_tremor
