,interval_start,annotation
0,0.0,no_tremor
1,0.5,no_tremor
2,1.0,no_tremor
3,1.5,no_tremor
4,2.0,no_tremor
5,2.5,no_tremor
6,3.0,no_tremor
7,3.5,no_tremor
8,4.0,no_tremor
9,4.5,no_tremor
10,5.0,no_tremor
11,5.5,no_tremor
12,6.0,no_tremor
13,6.5,no_tremor
14,7.0,no_tremor
15,7.5,no_tremor
16,8.0,no_tremor
17,8.5,no_tremor
18,9.0,no_tremor
19,9.5,no_tremor
20,10.0,no_tremor
21,10.5,no_tremor
22,11.0,no_tremor
23,11.5,no_tremor
24,12.0,no_tremor
25,12.5,no_tremor
26,13.0,no_tremor
27,13.5,no_tremor
28,14.0,no_tremor
29,14.5,no_tremor
30,15.0,no_tremor
31,15.5,no_tremor
32,16.0,no_tremor
33,16.5,no_tremor
34,17.0,no_tremor
35,17.5,no_tremor
36,18.0,no_tremor
37,18.5,no_tremor
38,19.0,no_tremor
39,19.5,no_tremor
40,20.0,no_tremor
41,20.5,no_tremor
42,21.0,no_tremor
43,21.5,no_tremor
44,22.0,no_tremor
45,22.5,no_tremor
46,23.0,no_tremor
47,23.5,no_tremor
1948,24.0,no_tremor.flat
48,24.5,no_tremor
49,25.0,no_tremor
1949,25.5,no_tremor.flat
1955,26.0,no_tremor.flat
1950,26.5,no_tremor.flat
1956,27.0,no_tremor.flat
1951,27.5,no_tremor.flat
1957,28.0,no_tremor.flat
1952,28.5,no_tremor.flat
1958,29.0,no_tremor.flat
1953,29.5,no_tremor.flat
1959,30.0,no_tremor.flat
1954,30.5,no_tremor.flat
50,31.0,no_tremor
51,31.5,no_tremor
52,32.0,no_tremor
53,32.5,no_tremor
54,33.0,no_tremor
55,33.5,no_tremor
56,34.0,no_tremor
57,34.5,no_tremor
58,35.0,no_tremor
59,35.5,no_tremor
60,36.0,no_tremor
61,36.5,no_tremor
62,37.0,no_tremor
63,37.5,no_tremor
64,38.0,no_tremor
65,38.5,no_tremor
66,39.0,no_tremor
67,39.5,no_tremor
68,40.0,no_tremor
69,40.5,no_tremor
70,41.0,no_tremor
71,41.5,no_tremor
72,42.0,no_tremor
73,42.5,no_tremor
74,43.0,no_tremor
75,43.5,no_tremor
76,44.0,no_tremor
77,44.5,no_tremor
78,45.0,no_tremor
79,45.5,no_tremor
80,46.0,no_tremor
81,46.5,no_tremor
82,47.0,no_tremor
83,47.5,no_tremor
84,48.0,no_tremor
85,48.5,no_tremor
86,49.0,no_tremor
87,49.5,no_tremor
88,50.0,no_tremor
89,50.5,no_tremor
90,51.0,no_tremor
91,51.5,no_tremor
92,52.0,no_tremor
93,52.5,no_tremor
94,53.0,no_tremor
95,53.5,no_tremor
96,54.0,no_tremor
97,54.5,no_tremor
98,55.0,no_tremor
99,55.5,no_tremor
100,56.0,no_tremor
101,56.5,no_tremor
102,57.0,no_tremor
103,57.5,no_tremor
104,58.0,tremor
105,58.5,no_tremor
106,59.0,no_tremor
107,59.5,tremor
108,60.0,tremor
109,60.5,no_tremor
110,61.0,tremor
111,61.5,no_tremor
112,62.0,tremor
113,62.5,tremor
114,63.0,tremor
115,63.5,no_tremor
116,64.0,no_tremor
117,64.5,no_tremor
118,65.0,tremor
119,65.5,no_tremor
120,66.0,no_tremor
121,66.5,tremor
122,67.0,no_tremor
123,67.5,no_tremor
124,68.0,no_tremor
125,68.5,no_tremor
126,69.0,no_tremor
127,69.5,no_tremor
128,70.0,no_tremor
129,70.5,no_tremor
130,71.0,no_tremor
131,71.5,no_tremor
132,72.0,no_tremor
133,72.5,no_tremor
134,73.0,no_tremor
135,73.5,no_tremor
136,74.0,no_tremor
137,74.5,no_tremor
138,75.0,no_tremor
139,75.5,no_tremor
140,76.0,no_tremor
141,76.5,no_tremor
142,77.0,no_tremor
143,77.5,no_tremor
144,78.0,no_tremor
145,78.5,no_tremor
146,79.0,no_tremor
147,79.5,no_tremor
148,80.0,no_tremor
149,80.5,no_tremor
150,81.0,no_tremor
151,81.5,no_tremor
152,82.0,no_tremor
153,82.5,no_tremor
154,83.0,no_tremor
155,83.5,no_tremor
156,84.0,no_tremor
1960,84.5,no_tremor.flat
157,85.0,no_tremor
158,85.5,no_tremor
159,86.0,no_tremor
160,86.5,no_tremor
161,87.0,no_tremor
162,87.5,no_tremor
163,88.0,no_tremor
164,88.5,no_tremor
165,89.0,no_tremor
166,89.5,no_tremor
167,90.0,no_tremor
168,90.5,no_tremor
169,91.0,no_tremor
170,91.5,no_tremor
171,92.0,no_tremor
172,92.5,no_tremor
173,93.0,no_tremor
174,93.5,no_tremor
175,94.0,no_tremor
176,94.5,no_tremor
177,95.0,no_tremor
178,95.5,no_tremor
179,96.0,no_tremor
180,96.5,no_tremor
181,97.0,no_tremor
182,97.5,no_tremor
183,98.0,no_tremor
184,98.5,no_tremor
185,99.0,no_tremor
186,99.5,no_tremor
187,100.0,no_tremor
188,100.5,no_tremor
189,101.0,no_tremor
190,101.5,no_tremor
191,102.0,no_tremor
192,102.5,no_tremor
193,103.0,no_tremor
194,103.5,no_tremor
195,104.0,no_tremor
196,104.5,no_tremor
197,105.0,no_tremor
198,105.5,no_tremor
199,106.0,no_tremor
200,106.5,no_tremor
201,107.0,no_tremor
202,107.5,no_tremor
203,108.0,no_tremor
204,108.5,no_tremor
