,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 39.73999688502147, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 78, 'scaler__quantile_range': (5, 95)}",121.07030928786844,5.866308598114222,1.3528584204614162,0.283897175952832,-0.8985270917332632,-0.8963153894192366,-0.8978372436331727,-0.898189018924852,-0.8952555820046099,-0.8972248651430269,0.0012414198479110065,9,39.73999688502147,19,0.25,78,"(5, 95)"
1,"{'f_select__percentile': 86.26322245158661, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 79, 'scaler__quantile_range': (0.1, 99.9)}",821.9144290862605,11.014949298326409,0.9268534727394581,0.05776919898231637,-0.8947612524054159,-0.8910304117147597,-0.8924889560456134,-0.8920354382737303,-0.8920998653342307,-0.8924831847547501,0.0012367364896326285,1,86.26322245158661,15,auto,79,"(0.1, 99.9)"
2,"{'f_select__percentile': 92.51044059891356, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 92, 'scaler__quantile_range': (1, 99)}",309.8375816822052,7.006405170163301,2.027303856611252,0.19611096655913646,-0.8970348860212187,-0.8929938845075317,-0.8947069955894856,-0.8944972276604451,-0.8944620583804141,-0.894739010431819,0.001300207330471671,4,92.51044059891356,24,0.25,92,"(1, 99)"
3,"{'f_select__percentile': 17.485887737214323, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 95, 'scaler__quantile_range': (5, 95)}",234.56113170143217,11.107408939816706,1.070097367092967,0.09673450931360533,-0.9043477862721757,-0.9014728336889564,-0.9040399197351062,-0.9031991130911993,-0.9041410705888921,-0.9034401446752661,0.0010586075069271058,15,17.485887737214323,17,auto,95,"(5, 95)"
4,"{'f_select__percentile': 54.12813599707822, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 67, 'scaler__quantile_range': (10, 90)}",160.3689914125949,8.08263767438853,1.3551951963454485,0.06628207461944914,-0.8999505894598707,-0.8957433148935813,-0.8993420152898697,-0.8981778018328416,-0.8984513964146746,-0.8983330235781676,0.0014407831651987114,10,54.12813599707822,23,0.25,67,"(10, 90)"
5,"{'f_select__percentile': 14.827297381872883, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 94, 'scaler__quantile_range': (1, 99)}",65.04382949098945,1.828738886606589,1.9898365397006272,0.7303043495046606,-0.9066282628909192,-0.902952723849244,-0.9061378348325526,-0.9059918162138144,-0.9040112033612268,-0.9051443682295515,0.0014138214209640887,17,14.827297381872883,23,0.25,94,"(1, 99)"
6,"{'f_select__percentile': 9.427765584391434, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 50, 'scaler__quantile_range': (10, 90)}",23.426671938039362,1.5108495728479685,0.9584601804614067,0.12436533898079863,-0.9199755780389871,-0.9184849631321151,-0.9190253445921419,-0.9189232850583864,-0.9154440789624569,-0.9183706499568175,0.0015419280175821702,20,9.427765584391434,24,0.25,50,"(10, 90)"
7,"{'f_select__percentile': 85.29511788710779, 'model__regressor__max_depth': 12, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 79, 'scaler__quantile_range': (0.1, 99.9)}",665.6008953597396,23.70547366357053,0.771600179746747,0.10870510834988158,-0.8960554337087719,-0.8935468682060556,-0.8956507795127202,-0.8945660220554901,-0.8946954334003919,-0.894902907376686,0.0008812501439169816,5,85.29511788710779,12,auto,79,"(0.1, 99.9)"
8,"{'f_select__percentile': 29.420487672581842, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 64, 'scaler__quantile_range': (0.5, 99.5)}",47.1227971971035,0.8865606201330991,0.7803216647356749,0.30970488972826504,-0.9014844077690198,-0.8996278042434755,-0.8997140276073153,-0.8996940957782071,-0.8996072617260524,-0.9000255194248139,0.0007305259550212923,13,29.420487672581842,13,0.25,64,"(0.5, 99.5)"
9,"{'f_select__percentile': 39.01225339030559, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 98, 'scaler__quantile_range': (1, 99)}",479.6950662480667,27.467597229347206,1.226037500053644,0.417996928991856,-0.8968247277844913,-0.8934134816551803,-0.8957718253842097,-0.8951903475367116,-0.8945296089504063,-0.8951459982621999,0.0011483299901245754,6,39.01225339030559,15,auto,98,"(1, 99)"
10,"{'f_select__percentile': 13.32571209539899, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 98, 'scaler__quantile_range': (1, 99)}",207.14775340035558,6.651775417729975,1.4740676533430814,0.1079102134615897,-0.9083407333911717,-0.9071245645728152,-0.9085594114691666,-0.9082059932907479,-0.908131721278713,-0.9080724848005228,0.0004957703344149378,19,13.32571209539899,21,auto,98,"(1, 99)"
11,"{'f_select__percentile': 19.802915032376976, 'model__regressor__max_depth': 20, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 83, 'scaler__quantile_range': (0.1, 99.9)}",231.26628383398057,11.197628743295326,1.3825018044561148,0.46728109374298266,-0.9047495771318927,-0.9013196200943423,-0.9068525122977926,-0.903312298965988,-0.9023956562245686,-0.9037259329429168,0.001926365314649524,16,19.802915032376976,20,auto,83,"(0.1, 99.9)"
12,"{'f_select__percentile': 34.639305680004504, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 64, 'scaler__quantile_range': (1, 99)}",327.59801446944476,8.650435757542134,1.0431456796824932,0.04539619431242525,-0.9016132792550934,-0.8965782134867266,-0.8979408827506151,-0.9001208463384806,-0.8986287395331647,-0.8989763922728161,0.0017439811899057245,12,34.639305680004504,21,auto,64,"(1, 99)"
