,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 8.482370033591513, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 84, 'scaler__quantile_range': (0.5, 99.5)}",39.547660334408285,0.4155402349842926,0.824706582352519,0.09696316276613756,-1.4659776729808103,-1.4659434210841267,-1.466523521482643,-1.4667044904468267,-1.4660848363315522,-1.4662467870146634,0.0003087896824141631,15,8.482370033591513,14,0.25,84,"(0.5, 99.5)"
1,"{'f_select__percentile': 25.59108647326669, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (5, 95)}",93.00327884033322,2.9073560307090442,1.0316981675103307,0.15306506063412764,-1.4625374484083775,-1.461687841392619,-1.4616797356573994,-1.4616074443350813,-1.4633185249198455,-1.4621661986712793,0.0006698289013420621,13,25.59108647326669,19,0.25,56,"(5, 95)"
2,"{'f_select__percentile': 4.69010962911125, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 95, 'scaler__quantile_range': (0.5, 99.5)}",138.13711800146848,4.584073615063877,1.8661244263872505,0.14518336773725427,-1.4934979688392769,-1.4891853945651774,-1.4892870531084597,-1.493428807675425,-1.4889397076633508,-1.490867788771802,0.0021224206293003777,20,4.69010962911125,23,auto,95,"(0.5, 99.5)"
3,"{'f_select__percentile': 1.276434858353781, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 67, 'scaler__quantile_range': (10, 90)}",42.226354766264556,3.7771645986405273,0.674297652207315,0.24836745099592591,-1.4731862698627292,-1.4734783016263309,-1.4737707255442025,-1.473282093781253,-1.4726795830087904,-1.4732793950326861,0.0003603944697726739,18,1.276434858353781,13,auto,67,"(10, 90)"
4,"{'f_select__percentile': 27.339458096369185, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 64, 'scaler__quantile_range': (0.5, 99.5)}",79.91644821204245,7.7422294400565,0.8693949460983277,0.018129050809779456,-1.4596079352010054,-1.459009000749077,-1.458499877436764,-1.4597958602943994,-1.4587737812543828,-1.459137291854565,0.000491957342899272,9,27.339458096369185,15,0.25,64,"(0.5, 99.5)"
5,"{'f_select__percentile': 25.107991852370372, 'model__regressor__max_depth': 16, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 57, 'scaler__quantile_range': (0.1, 99.9)}",74.9926698571071,4.610620631790964,0.7771110786590725,0.10588729307466191,-1.461316627922366,-1.4595798617196605,-1.46030184927927,-1.460886236464766,-1.4613115599044892,-1.4606792258876085,0.0006633257164062997,10,25.107991852370372,16,0.25,57,"(0.1, 99.9)"
6,"{'f_select__percentile': 18.496285045617856, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 51, 'scaler__quantile_range': (10, 90)}",34.80637539550662,1.9572199011126015,0.42551995608955623,0.062295907148158546,-1.4641648355035763,-1.4634264826024852,-1.464304780957034,-1.464366468616154,-1.4651952579045273,-1.4642915626037518,0.0005633605668687213,14,18.496285045617856,10,0.25,51,"(10, 90)"
7,"{'f_select__percentile': 86.73814782606973, 'model__regressor__max_depth': 16, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 53, 'scaler__quantile_range': (1, 99)}",938.8626596253365,91.82279187934539,0.9872481316328049,0.04492616768121147,-1.455552835890846,-1.4570280994745028,-1.4572911621592242,-1.4560217774368913,-1.4573898613154246,-1.4566567453992565,0.0007347994885688133,3,86.73814782606973,16,auto,53,"(1, 99)"
8,"{'f_select__percentile': 71.25152843120372, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 71, 'scaler__quantile_range': (1, 99)}",284.69859093334526,26.50375414380114,1.3733743013814093,0.05912008578293872,-1.4562712384084036,-1.456830649147721,-1.4549810861590544,-1.4559459269240762,-1.4568015326947685,-1.456166088617068,0.0006795855182771464,2,71.25152843120372,18,0.25,71,"(1, 99)"
9,"{'f_select__percentile': 23.263769429836113, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 83, 'scaler__quantile_range': (5, 95)}",128.8739599503577,9.561078876539064,1.398691288381815,0.06606483770036535,-1.4611346157220493,-1.460104518797683,-1.4612481842321794,-1.4612277954296935,-1.4612911394353534,-1.4610012487892112,0.0004512767995641071,11,23.263769429836113,19,0.25,83,"(5, 95)"
