,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 12.567590909926917, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 99, 'scaler__quantile_range': (5, 95)}",3.1086602501571177,0.07610370114830986,0.018038806319236756,0.006801042276947691,-0.8521386046210794,-0.9543139369488427,-0.8808797315813696,-0.9060834982658825,-0.8712908860075105,-0.8929484933356915,0.03528786884970408,82,12.567590909926917,15,auto,99,"(5, 95)"
1,"{'f_select__percentile': 40.238736439836856, 'model__regressor__max_depth': 16, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 53, 'scaler__quantile_range': (10, 90)}",5.258593246340752,0.1729506647568929,0.010537265241146088,0.0012314887675038157,-0.8837172135167426,-0.9237045858678525,-0.9340074808464703,-0.8737890477145859,-0.8539566019970566,-0.8938854273372498,0.030331055708435473,83,40.238736439836856,16,auto,53,"(10, 90)"
2,"{'f_select__percentile': 8.799072720979318, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 80, 'scaler__quantile_range': (10, 90)}",0.7507527343928814,0.07684094850605853,0.01986553817987442,0.011834046827573028,-0.8183304855356112,-0.8523544838122393,-0.8660237359627293,-0.8732267815825187,-0.8399242261014601,-0.8499608254924418,0.019528287972750753,53,8.799072720979318,18,0.25,80,"(10, 90)"
3,"{'f_select__percentile': 9.463912395222263, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 75, 'scaler__quantile_range': (10, 90)}",1.9471633672714233,0.1328980429070522,0.012981514260172845,0.0008685618319084545,-0.8131681048450969,-0.8626342016784438,-0.8726514220253877,-0.8871949845415738,-0.8368028522732195,-0.8544776723230227,0.02640517079225262,55,9.463912395222263,17,auto,75,"(10, 90)"
4,"{'f_select__percentile': 72.86459900915214, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 55, 'scaler__quantile_range': (0.1, 99.9)}",2.742400562018156,0.03899821405654567,0.014200989529490471,0.0007284212437860695,-0.782587516237529,-0.8184278123667691,-0.8210725352773277,-0.7580418912033525,-0.8179238013040739,-0.7996302868081541,0.025157366547891687,15,72.86459900915214,13,0.25,55,"(0.1, 99.9)"
5,"{'f_select__percentile': 33.92321507872607, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 59, 'scaler__quantile_range': (1, 99)}",6.261313973367214,0.33050652438270345,0.015255751460790635,0.005982422548790551,-0.8755732562891633,-0.9095965387550488,-0.909465371644498,-0.8191787486965609,-0.8653345637858236,-0.8758862161028941,0.03342612011206396,65,33.92321507872607,24,auto,59,"(1, 99)"
6,"{'f_select__percentile': 52.837238132510066, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 58, 'scaler__quantile_range': (0.5, 99.5)}",2.6022944662719967,0.31547489788517685,0.013700626417994499,0.0025848439712575465,-0.8107485072974678,-0.8254612116410898,-0.8359814643423366,-0.8100067553855437,-0.7960914592158933,-0.8156791064658193,0.013768684925867592,36,52.837238132510066,21,0.25,58,"(0.5, 99.5)"
7,"{'f_select__percentile': 66.8290416414904, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 74, 'scaler__quantile_range': (10, 90)}",3.461537928879261,0.18855203455708394,0.01359425187110901,0.0007002138818682479,-0.8413711831587511,-0.8996057954301054,-0.8591826733790244,-0.8170436433626557,-0.8294741141770293,-0.8493793819067854,0.028724984987191036,52,66.8290416414904,21,0.25,74,"(10, 90)"
8,"{'f_select__percentile': 85.59560650848833, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 83, 'scaler__quantile_range': (10, 90)}",4.843715315684676,0.14818473966965864,0.018384072929620743,0.005522903964670949,-0.8161708397363757,-0.8400088935191292,-0.8385210134702543,-0.7670397744623679,-0.768112097122721,-0.8060351610154854,0.032457655640487,19,85.59560650848833,21,0.25,83,"(10, 90)"
9,"{'f_select__percentile': 86.56742201205236, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 71, 'scaler__quantile_range': (1, 99)}",4.301708574220538,0.22225268553766792,0.015314958617091179,0.0025784638062357197,-0.8003847903712511,-0.8437166233062424,-0.8417367638579748,-0.7686730137468767,-0.7853055037658929,-0.8080154839258988,0.03010795175108838,23,86.56742201205236,22,0.25,71,"(1, 99)"
