,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 77.76026841882471, 'model__regressor__max_depth': 20, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 74, 'scaler__quantile_range': (0.5, 99.5)}",1970.1938115693629,40.18665521549463,0.4400142576545477,0.12174432215320202,-0.26890885532335723,-0.2676957570208955,-0.2695895212073571,-0.2686780149925882,-0.26585928736937536,-0.2681463213685742,0.0012946234205945433,11,77.76026841882471,20,auto,74,"(0.5, 99.5)"
1,"{'f_select__percentile': 69.51658895214608, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 55, 'scaler__quantile_range': (0.5, 99.5)}",312.6926279630512,2.7454546206237573,0.3031862910836935,0.012272682673975684,-0.26825152692793924,-0.2686980068776863,-0.2690216501481325,-0.2686945133465166,-0.26454127660262666,-0.2678414441104384,0.0016681115470414678,6,69.51658895214608,18,0.25,55,"(0.5, 99.5)"
2,"{'f_select__percentile': 47.5489989850349, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 75, 'scaler__quantile_range': (0.1, 99.9)}",222.07697576507925,5.741430241123493,0.24779653921723366,0.030576526831230723,-0.26723852254196256,-0.2664597077587364,-0.2679721584313649,-0.26762340141559526,-0.2650425762070832,-0.2668673005463497,0.0010417090081139533,1,47.5489989850349,13,0.25,75,"(0.1, 99.9)"
3,"{'f_select__percentile': 56.85967938631743, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 76, 'scaler__quantile_range': (0.5, 99.5)}",1646.0032764652744,41.00330315228403,0.43478849418461324,0.06249329087673784,-0.26918531445291316,-0.26917105147485676,-0.2712042737765353,-0.2706070480335403,-0.2664326357842275,-0.26932010786543226,0.0016482571512215507,18,56.85967938631743,24,auto,76,"(0.5, 99.5)"
4,"{'f_select__percentile': 67.61838358926819, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 76, 'scaler__quantile_range': (10, 90)}",1461.5086239628495,52.39694641893034,0.7355089120566844,0.6241514360991535,-0.26890818756012597,-0.26750106498037585,-0.2689124899883172,-0.268772392538435,-0.2661175769589152,-0.26804237117644786,0.0010988479853515436,9,67.61838358926819,15,auto,76,"(10, 90)"
5,"{'f_select__percentile': 82.90011901479672, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 66, 'scaler__quantile_range': (1, 99)}",379.26552418358625,11.693668654284215,0.2821656664833426,0.01126685849782183,-0.26750896277069697,-0.26637258905609057,-0.2685968937110347,-0.2679370468649961,-0.26500344186223046,-0.2670838179498123,0.001267418932757807,3,82.90011901479672,15,0.25,66,"(1, 99)"
6,"{'f_select__percentile': 85.66095293873603, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 80, 'scaler__quantile_range': (10, 90)}",2693.7734740942715,57.1447170765342,0.47531828954815863,0.06772049647524235,-0.26792604454088276,-0.2685442638371716,-0.2696148870043724,-0.26866875380938204,-0.2666466336193837,-0.26828014097938885,0.0009793804786576658,12,85.66095293873603,23,auto,80,"(10, 90)"
7,"{'f_select__percentile': 44.81467869452538, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 79, 'scaler__quantile_range': (0.1, 99.9)}",1057.5343569085003,23.305237420763333,0.6508641507476568,0.747562378527383,-0.26757441140673344,-0.26710236655826475,-0.2693458430340388,-0.26770762831155587,-0.2649765542696496,-0.2673413960649543,0.0014039637478809241,5,44.81467869452538,17,auto,79,"(0.1, 99.9)"
8,"{'f_select__percentile': 65.52625110597086, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 55, 'scaler__quantile_range': (0.5, 99.5)}",940.3315972890705,37.46927968902523,0.2122743595391512,0.015151708103679967,-0.26824222839953366,-0.26763146765681073,-0.26985099733596307,-0.26928715416129395,-0.2653003675840493,-0.26806248431477575,0.0015840192243781572,10,65.52625110597086,14,auto,55,"(0.5, 99.5)"
9,"{'f_select__percentile': 48.02632456162761, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 58, 'scaler__quantile_range': (1, 99)}",1106.6492152595893,46.294385389381574,0.3954524967819452,0.10096209391718489,-0.2696967993022421,-0.27066753368244933,-0.2716505064944808,-0.27232918198317213,-0.2681229938784746,-0.2704934385008188,0.0014827309724658282,19,48.02632456162761,24,auto,58,"(1, 99)"
