,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 37.46532680822834, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 54, 'scaler__quantile_range': (0.1, 99.9)}",69.38405723781325,1.8468411069181208,0.03545922785997391,0.002851693978536888,-1.6743157330444358,-1.6128876934320877,-1.636616998805364,-1.6497724735363268,-1.6183056176022796,-1.6383816571565615,0.02225828849268416,5,37.46532680822834,19,auto,54,"(0.1, 99.9)"
1,"{'f_select__percentile': 21.315626338642534, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 67, 'scaler__quantile_range': (0.1, 99.9)}",36.23358725407161,2.73755988660359,0.03102352935820818,0.0023631314531710507,-1.7866507704987193,-1.6822733223409043,-1.729110784583818,-1.7544522839571794,-1.7190116753210007,-1.734301255377313,0.03497037342858276,19,21.315626338642534,11,auto,67,"(0.1, 99.9)"
2,"{'f_select__percentile': 80.28378923993229, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 67, 'scaler__quantile_range': (10, 90)}",32.765508830873294,1.4893279321617712,0.08753842925652862,0.10705621978054337,-1.6537428701329346,-1.6250286477117237,-1.6519295462013253,-1.6583174046235565,-1.629591244863918,-1.6437233180909472,0.013637598593441786,6,80.28378923993229,10,0.25,67,"(10, 90)"
3,"{'f_select__percentile': 4.7930087557295, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 90, 'scaler__quantile_range': (0.5, 99.5)}",16.589695485914127,5.006496568730104,0.04990117773413658,0.010330791437572043,-1.707565012868559,-1.67342863200577,-1.6831430010534658,-1.670069771612132,-1.6452435492684285,-1.6758929762742751,0.02017320873225769,14,4.7930087557295,14,auto,90,"(0.5, 99.5)"
4,"{'f_select__percentile': 20.806689460805693, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 88, 'scaler__quantile_range': (10, 90)}",13.996922997524962,2.623914542766619,0.042137385345995426,0.009920765575859863,-1.7305256744694912,-1.6721292263896477,-1.6947506771890333,-1.6981828755792616,-1.6748561913115112,-1.694090800969264,0.020961847581952995,17,20.806689460805693,10,0.25,88,"(10, 90)"
5,"{'f_select__percentile': 36.7356763051475, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 98, 'scaler__quantile_range': (5, 95)}",27.590644498541952,1.2607629279809822,0.09712983416393399,0.08356591426783751,-1.695774788915414,-1.6272880232588347,-1.662213334515971,-1.674566324329506,-1.645689039727955,-1.6611078027590769,0.02351945221939123,9,36.7356763051475,14,0.25,98,"(5, 95)"
6,"{'f_select__percentile': 87.01213024247912, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 65, 'scaler__quantile_range': (10, 90)}",220.727621025173,5.847403435941101,0.061661576433107254,0.01179764095891423,-1.6460458262034692,-1.615719368497106,-1.6561114857760515,-1.6327223870215224,-1.5975519002762952,-1.629633315833775,0.02098825871098765,2,87.01213024247912,23,auto,65,"(10, 90)"
7,"{'f_select__percentile': 80.72426193497729, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 52, 'scaler__quantile_range': (5, 95)}",40.192695719376204,2.0226554172431044,0.04640652649104595,0.007786902747425152,-1.7089681994361878,-1.653503543296293,-1.688240219726833,-1.6869302887045208,-1.6441377552289178,-1.6763591371794702,0.02398595707338671,16,80.72426193497729,21,0.25,52,"(5, 95)"
8,"{'f_select__percentile': 20.83553546224519, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 99, 'scaler__quantile_range': (0.5, 99.5)}",17.58684385721572,5.352288122011366,0.0392791866324842,0.004220293779779369,-1.7569026085910717,-1.6924938121858628,-1.7151524067370942,-1.746525380401811,-1.7081859745969514,-1.7238535613285175,0.02412895354946657,18,20.83553546224519,10,0.25,99,"(0.5, 99.5)"
9,"{'f_select__percentile': 15.607772180536085, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 80, 'scaler__quantile_range': (10, 90)}",38.0127224531956,1.3954629348347816,0.049393077939748765,0.007997310740538562,-1.6977834336475148,-1.6475437174928371,-1.6728407076552954,-1.6885792333255254,-1.6734335673148475,-1.6760363852028135,0.01708341302930484,15,15.607772180536085,14,auto,80,"(10, 90)"
