,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 27.021376443205657, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (0.1, 99.9)}",150.37612886563875,9.900222281986212,0.15178961902856827,0.045180789983393865,-0.8257014602529973,-0.8276182372755647,-0.8197176064742088,-0.8209607389181696,-0.8266225137944608,-0.8241243259905108,0.003173705010422179,20,27.021376443205657,23,auto,56,"(0.1, 99.9)"
1,"{'f_select__percentile': 32.153407417695455, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 74, 'scaler__quantile_range': (10, 90)}",154.69652454108,1.525992661160765,0.241270736977458,0.22108934090749657,-0.8090054574266013,-0.8115650796932501,-0.8074481008805361,-0.8062125028897071,-0.8124074353439155,-0.8093277963026544,0.002359260443033872,14,32.153407417695455,11,auto,74,"(10, 90)"
2,"{'f_select__percentile': 21.856857032902454, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 53, 'scaler__quantile_range': (10, 90)}",112.44577958285808,4.404048136530865,0.12763787084259093,0.051832807495606016,-0.817664353161993,-0.8219696613194117,-0.8262521114160454,-0.8108530443003152,-0.8083887368077685,-0.8170258176922855,0.006673267867612919,17,21.856857032902454,24,auto,53,"(10, 90)"
3,"{'f_select__percentile': 1.686327923807951, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 55, 'scaler__quantile_range': (5, 95)}",6.065092806518078,1.4752429208964088,0.10749396570026874,0.02732769382101801,-0.801221876374332,-0.8117104791869401,-0.8089842733079651,-0.7999052321835057,-0.8090157934357604,-0.8061675561778363,0.004699981399770808,12,1.686327923807951,21,0.25,55,"(5, 95)"
4,"{'f_select__percentile': 6.515576803596479, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (0.5, 99.5)}",8.56302487589419,0.4854370852696014,0.2000180870294571,0.11553676152180027,-0.8154934297200016,-0.8206049508745883,-0.8250585243531638,-0.8093354140747957,-0.8197670719073483,-0.8180518779584527,0.005311617230700711,18,6.515576803596479,14,0.25,56,"(0.5, 99.5)"
5,"{'f_select__percentile': 96.33037966503606, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 98, 'scaler__quantile_range': (1, 99)}",546.8177636548877,26.57938873582912,0.19118177220225335,0.13678125373537936,-0.8126807366422599,-0.8096865157907115,-0.8097153317413567,-0.7983176806481895,-0.8080607910110758,-0.807692506711227,0.004918723310716304,13,96.33037966503606,10,auto,98,"(1, 99)"
6,"{'f_select__percentile': 26.12107199421042, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 70, 'scaler__quantile_range': (10, 90)}",195.91396067775787,9.590230706690026,0.12316716685891152,0.00878760606880996,-0.813248255437091,-0.8174218633385374,-0.8138600701341818,-0.8058778571964308,-0.8098840151957987,-0.8120586896250441,0.003907825285092843,15,26.12107199421042,23,auto,70,"(10, 90)"
7,"{'f_select__percentile': 91.1270514561453, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 95, 'scaler__quantile_range': (0.5, 99.5)}",900.7635651296936,41.146154267606505,0.23840071992017328,0.12134738360743677,-0.8070484522412934,-0.804896922342962,-0.8003018302931443,-0.797407788969767,-0.8044901877470383,-0.8028293024254964,0.0034818179633234084,6,91.1270514561453,24,auto,95,"(0.5, 99.5)"
8,"{'f_select__percentile': 75.08722906241508, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 87, 'scaler__quantile_range': (10, 90)}",508.2538401141763,20.830923292874843,0.1335939958691597,0.025775363751614384,-0.8040489836913616,-0.8045390973770721,-0.802300096976291,-0.7962382570330655,-0.8021133844582922,-0.8018481709649578,0.0029607167524920326,5,75.08722906241508,13,auto,87,"(10, 90)"
9,"{'f_select__percentile': 68.07577453512297, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 69, 'scaler__quantile_range': (10, 90)}",95.38912539109587,6.696667103717829,0.1261566262692213,0.04654649731754225,-0.8090303912785581,-0.8089639829911717,-0.8032006943995619,-0.7989298211033222,-0.806444014970491,-0.8053140927449715,0.0038375560858040295,11,68.07577453512297,13,0.25,69,"(10, 90)"
