,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 75.71159585521508, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 67, 'scaler__quantile_range': (5, 95)}",58.94928778056055,1.3901368661870526,0.13569842102006077,0.02649731568907967,-0.23262114886003746,-0.23321342977429133,-0.23401596942440972,-0.2369672536897976,-0.23300794467647912,-0.2339650961610637,0.0015685804464949347,9,75.71159585521508,14,auto,67,"(5, 95)"
1,"{'f_select__percentile': 96.01642866108546, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 55, 'scaler__quantile_range': (5, 95)}",48.59679039288312,1.8925381370821832,0.18014790979214013,0.13633685339360305,-0.235082350516914,-0.2344573674504015,-0.2378067461300337,-0.23710429522096999,-0.23542618456675588,-0.23597537371707597,0.0012674417898505892,13,96.01642866108546,10,auto,55,"(5, 95)"
2,"{'f_select__percentile': 93.47597346548292, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 63, 'scaler__quantile_range': (10, 90)}",14.56994347893633,0.5863245597663276,0.11914867791347206,0.0497331298266955,-0.23436168446354444,-0.2344085971504325,-0.237580452551519,-0.23744037984262562,-0.23537507665396265,-0.2358332082833473,0.0014170960224572132,12,93.47597346548292,11,0.25,63,"(10, 90)"
3,"{'f_select__percentile': 10.538920483133419, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 61, 'scaler__quantile_range': (10, 90)}",11.36834278483875,0.32070129180675244,0.09364897152408957,0.009324572076102832,-0.25030157691073374,-0.24988488809294884,-0.24975771139156547,-0.2507873044853753,-0.25503498962769156,-0.2511532027680202,0.0019739540684108586,18,10.538920483133419,22,auto,61,"(10, 90)"
4,"{'f_select__percentile': 43.858389389377365, 'model__regressor__max_depth': 12, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 53, 'scaler__quantile_range': (0.1, 99.9)}",5.929691519821063,0.31357726923270246,0.05556631051003933,0.0069647669138636235,-0.23311530572653064,-0.23443624503327512,-0.2370807197193454,-0.2358093386883177,-0.23492023291124509,-0.23507235322246692,0.0013292763551875674,10,43.858389389377365,12,0.25,53,"(0.1, 99.9)"
5,"{'f_select__percentile': 48.477665366204256, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 84, 'scaler__quantile_range': (1, 99)}",12.494931308878586,0.6395899111035523,0.1107599507085979,0.013438393394243325,-0.23065522851045023,-0.23106380064062426,-0.23313716588338,-0.23394780937791326,-0.230773213294057,-0.2319154204166756,0.0013594865220059988,5,48.477665366204256,14,0.25,84,"(1, 99)"
6,"{'f_select__percentile': 67.34125461839919, 'model__regressor__max_depth': 12, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 92, 'scaler__quantile_range': (0.1, 99.9)}",16.324524057796225,0.8432730653394526,0.17448239689692854,0.13107360579861319,-0.2323449368863107,-0.23166837354710165,-0.23464409904244488,-0.23398045100237636,-0.232385264415308,-0.23300461571818146,0.0011175532504959877,6,67.34125461839919,12,0.25,92,"(0.1, 99.9)"
7,"{'f_select__percentile': 30.130767611251642, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 55, 'scaler__quantile_range': (10, 90)}",5.67898649671115,0.3632786682764976,0.0982310900464654,0.028097665453919028,-0.2378142610406616,-0.23594803408315002,-0.23825657062778088,-0.2392303057566629,-0.23901609707440116,-0.23805299811433359,0.001169869962010466,15,30.130767611251642,13,0.25,55,"(10, 90)"
8,"{'f_select__percentile': 38.22255456568173, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 95, 'scaler__quantile_range': (10, 90)}",49.8026680463925,1.3040661759060634,0.2180412460118532,0.09887592298777348,-0.23377982196787797,-0.23448821538445608,-0.2346372750971851,-0.2375471756464737,-0.2366225343346612,-0.23541491772487533,0.0014241946561601194,11,38.22255456568173,18,auto,95,"(10, 90)"
9,"{'f_select__percentile': 72.78693313080446, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 78, 'scaler__quantile_range': (0.5, 99.5)}",77.29405358005314,2.7154705688383305,0.15429200697690248,0.006210916018740958,-0.226503539421995,-0.22492996409846597,-0.22607706599200114,-0.22830356933473817,-0.22700533480068089,-0.22656383806694472,0.0011073943741210699,2,72.78693313080446,24,auto,78,"(0.5, 99.5)"
10,"{'f_select__percentile': 11.878497364793162, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 78, 'scaler__quantile_range': (0.1, 99.9)}",12.326805181615054,0.7524731006326525,0.1123906451743096,0.011362354617492663,-0.24124468185325876,-0.2419070933391734,-0.24413083183615142,-0.24236871833539012,-0.24080021096139126,-0.2420903335473901,0.0011536352005465556,16,11.878497364793162,18,auto,78,"(0.1, 99.9)"
11,"{'f_select__percentile': 24.77045538889937, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 94, 'scaler__quantile_range': (1, 99)}",8.716559752635657,0.4387044924137925,0.1563671848271042,0.04295726941613969,-0.22975133529176323,-0.23056383473896902,-0.23240635954613373,-0.23107994264726375,-0.2314352598628707,-0.2310473354930846,0.0008845414617213739,3,24.77045538889937,19,0.25,94,"(1, 99)"
12,"{'f_select__percentile': 6.014400010918108, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 57, 'scaler__quantile_range': (5, 95)}",6.9825920207425956,0.41563910263611586,0.09289077781140805,0.022611782786889932,-0.2598105349652857,-0.2598037694568836,-0.2622614651518661,-0.2590679426703479,-0.261126562386292,-0.2604140713863953,0.0011374822319164513,19,6.014400010918108,21,auto,57,"(5, 95)"
13,"{'f_select__percentile': 9.168619474918726, 'model__regressor__max_depth': 20, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 75, 'scaler__quantile_range': (1, 99)}",10.482418143516407,0.4804551228260168,0.10530887031927705,0.01232693007704458,-0.24491416599966376,-0.2476925794468858,-0.24758317007643052,-0.2488226313304079,-0.24668859459518488,-0.24714019631586617,0.001303160968285069,17,9.168619474918726,20,auto,75,"(1, 99)"
