,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 1.3777187928244117, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 52, 'scaler__quantile_range': (1, 99)}",1.6473695494234561,0.0463896871275546,0.08551379311829806,0.020009322790763215,-0.21970384382432503,-0.2192936964075619,-0.21966903204641183,-0.21946547257186175,-0.21955184701784403,-0.2195367783736009,0.00014819063560968284,20,1.3777187928244117,23,0.25,52,"(1, 99)"
1,"{'f_select__percentile': 70.4343230516166, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 58, 'scaler__quantile_range': (0.5, 99.5)}",83.820587082766,3.8516032120957133,0.13958188500255347,0.04569608090617208,-0.18500574073140927,-0.1853543008065225,-0.18602953191112118,-0.1862806056551118,-0.18472501926018403,-0.18547903967286974,0.0005922276899596404,8,70.4343230516166,13,auto,58,"(0.5, 99.5)"
2,"{'f_select__percentile': 15.775985934191327, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 71, 'scaler__quantile_range': (5, 95)}",9.601716502942145,0.9524812610527129,0.28871019911020995,0.06589072818426395,-0.19309364706501891,-0.19375150805183908,-0.19361256682460296,-0.19445176085701232,-0.19326023997053576,-0.19363394455380178,0.0004721606042677686,16,15.775985934191327,24,0.25,71,"(5, 95)"
3,"{'f_select__percentile': 18.830794682369977, 'model__regressor__max_depth': 20, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 82, 'scaler__quantile_range': (0.1, 99.9)}",38.29348400104791,0.41787006271899046,0.2862828835844994,0.146159494661942,-0.1859334719561801,-0.18548409623064852,-0.18623514557628515,-0.18633615195677353,-0.18375711399210243,-0.18554919594239794,0.000943746831793891,9,18.830794682369977,20,auto,82,"(0.1, 99.9)"
4,"{'f_select__percentile': 93.22343505329145, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 67, 'scaler__quantile_range': (5, 95)}",133.45004882253707,4.881979508983308,0.17797100692987441,0.02347457004322533,-0.18821442293062127,-0.1884420578556954,-0.18781636735285157,-0.1894132656225811,-0.18763503342311363,-0.1883042294369726,0.0006233547722873947,14,93.22343505329145,14,auto,67,"(5, 95)"
5,"{'f_select__percentile': 11.121106239536227, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 63, 'scaler__quantile_range': (5, 95)}",3.8943259589374066,0.2401481595935628,0.1482800118625164,0.03825009017094127,-0.1937645855322774,-0.1944593266806856,-0.1937680406237773,-0.19463963999109443,-0.19406697634410253,-0.19413971383438747,0.0003567159919882445,17,11.121106239536227,14,0.25,63,"(5, 95)"
6,"{'f_select__percentile': 85.57314878957743, 'model__regressor__max_depth': 16, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 65, 'scaler__quantile_range': (10, 90)}",30.912898604013026,1.4475113101013692,0.20327006317675114,0.025317567293975756,-0.18686549767292462,-0.18739906967601563,-0.1872265336575174,-0.18780146021209493,-0.1877857009114533,-0.18741565242600117,0.0003534104350238115,12,85.57314878957743,16,0.25,65,"(10, 90)"
7,"{'f_select__percentile': 38.312610439184965, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 71, 'scaler__quantile_range': (0.1, 99.9)}",18.711169778555632,0.8125293417747961,0.3125113982707262,0.21379898745516404,-0.18274664811369234,-0.18270473645553287,-0.18443221042264016,-0.18390169515568922,-0.1824804788665448,-0.18325315380281987,0.0007700800680702202,5,38.312610439184965,19,0.25,71,"(0.1, 99.9)"
8,"{'f_select__percentile': 31.77452497280854, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 77, 'scaler__quantile_range': (1, 99)}",17.28456595968455,0.5974900786675562,0.23986738957464696,0.03024167268837442,-0.18278645004095312,-0.18240071125943025,-0.18426692917633514,-0.18330980560728205,-0.18215837220115721,-0.18298445365703156,0.0007500624693479498,4,31.77452497280854,22,0.25,77,"(1, 99)"
9,"{'f_select__percentile': 32.992404815382606, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 64, 'scaler__quantile_range': (0.5, 99.5)}",51.035843492671845,0.8466644238087974,0.1756507007405162,0.02547108959171563,-0.18345519011141392,-0.18389869138463422,-0.18485733985472513,-0.18433809673554233,-0.1833110868559491,-0.18397208098845294,0.0005704605583824822,6,32.992404815382606,17,auto,64,"(0.5, 99.5)"
10,"{'f_select__percentile': 48.712531535631456, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 99, 'scaler__quantile_range': (0.5, 99.5)}",80.29839291665704,2.4074675750169447,0.1652140302583575,0.007301594685249245,-0.19024289012929893,-0.1897733554448181,-0.1899900229124596,-0.19064709900266613,-0.1899478358442525,-0.19012024066669905,0.0003031936807835634,15,48.712531535631456,10,auto,99,"(0.5, 99.5)"
11,"{'f_select__percentile': 34.51058206396258, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 57, 'scaler__quantile_range': (0.1, 99.9)}",41.69902573935688,1.3552054038780028,0.11075322348624468,0.0133740442226106,-0.186526738357838,-0.18582897587797056,-0.18774744818470884,-0.1874078182818678,-0.18612058224465441,-0.18672631258940794,0.0007374442637923133,10,34.51058206396258,13,auto,57,"(0.1, 99.9)"
12,"{'f_select__percentile': 92.520449964367, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 78, 'scaler__quantile_range': (5, 95)}",164.14808782208712,5.072011476322965,0.2038734272122383,0.02687128007122259,-0.18710930445647436,-0.18740329815274404,-0.18747226687012838,-0.18818284762087956,-0.18722749659101565,-0.1874790427382484,0.0003744613007065813,13,92.520449964367,15,auto,78,"(5, 95)"
13,"{'f_select__percentile': 28.675161139386763, 'model__regressor__max_depth': 20, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 53, 'scaler__quantile_range': (1, 99)}",8.84498453233391,0.3430722238955519,0.24076557233929635,0.15880844759537324,-0.1850317416700766,-0.18483203290842998,-0.1867478543083694,-0.18510965372150795,-0.18371423621733568,-0.18508710376514392,0.0009707205854102195,7,28.675161139386763,20,0.25,53,"(1, 99)"
14,"{'f_select__percentile': 57.32516575862362, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 97, 'scaler__quantile_range': (10, 90)}",147.8409312322736,3.2234975743012937,0.29705619513988496,0.03612901204806988,-0.1864875315927181,-0.18634098771620794,-0.18716745694918763,-0.18788419259667022,-0.18636331262190028,-0.18684869629533682,0.0005996109069548379,11,57.32516575862362,24,auto,97,"(10, 90)"
15,"{'f_select__percentile': 47.82401750295768, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 64, 'scaler__quantile_range': (1, 99)}",19.91942973379046,0.46377366588646624,0.23248932920396329,0.01355984150720915,-0.18328634095519314,-0.18206933618829904,-0.18369286828325165,-0.18310360762430627,-0.18244828918166137,-0.18292008844654228,0.000585044069446555,2,47.82401750295768,23,0.25,64,"(1, 99)"
16,"{'f_select__percentile': 7.294799560246245, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 67, 'scaler__quantile_range': (0.5, 99.5)}",10.378511144407094,0.2833924307746405,0.15083542391657828,0.030029577709631106,-0.19621496441215344,-0.19328647465290325,-0.1942506344523806,-0.19487276594228994,-0.19313144987100433,-0.1943512578661463,0.0011293531485525015,18,7.294799560246245,13,auto,67,"(0.5, 99.5)"
17,"{'f_select__percentile': 4.738101276111073, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 91, 'scaler__quantile_range': (0.1, 99.9)}",13.937823981419205,0.5881536703947087,0.35392322558909656,0.18100196412716077,-0.2080867349547404,-0.20479245004447516,-0.20714462488947377,-0.20723201560222326,-0.2057211628165524,-0.206595397661493,0.0011786370557948852,19,4.738101276111073,21,auto,91,"(0.1, 99.9)"
18,"{'f_select__percentile': 37.73024138717339, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 57, 'scaler__quantile_range': (1, 99)}",54.4792606856674,1.8800232112034962,0.16892508324235678,0.010408503466008287,-0.18268732724456818,-0.1830301739876447,-0.1847608034184818,-0.1832150232815173,-0.1810222670592945,-0.1829431189983013,0.0011950388072888484,3,37.73024138717339,24,auto,57,"(1, 99)"
