,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 96.67181293499688, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 62, 'scaler__quantile_range': (5, 95)}",38.33754093907773,0.6083136970217119,0.27862769216299055,0.05785008523316857,-0.779438547419404,-0.7801075448513122,-0.7966531177358522,-0.7763264019852716,-0.7575018881051332,-0.7780058340414836,0.012469176048383615,8,96.67181293499688,23,0.25,62,"(5, 95)"
1,"{'f_select__percentile': 52.969987001484895, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 61, 'scaler__quantile_range': (10, 90)}",71.6887009434402,5.764117049733303,0.1548632476478815,0.0274917060203673,-0.7940863099937678,-0.7881732602630067,-0.806335550334242,-0.7967235098891317,-0.7751307822340864,-0.7920901588216869,0.01030855487116342,13,52.969987001484895,14,auto,61,"(10, 90)"
2,"{'f_select__percentile': 13.1161274612837, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 91, 'scaler__quantile_range': (0.5, 99.5)}",25.688744887709618,3.7647830062052345,0.21383627709001302,0.12089057214177248,-0.8226873182447145,-0.8310057769208837,-0.8358363051263434,-0.8273760681167833,-0.806190733870564,-0.8246195406726339,0.010173823599767292,19,13.1161274612837,11,auto,91,"(0.5, 99.5)"
3,"{'f_select__percentile': 28.76439132033871, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 98, 'scaler__quantile_range': (10, 90)}",61.609644897514954,3.3428887157262697,0.1933344952762127,0.027271216321199356,-0.8025049450892912,-0.8012379982245965,-0.8168725093707229,-0.7979791601119531,-0.7807131885438788,-0.7998618722121086,0.011562344462601456,14,28.76439132033871,14,auto,98,"(10, 90)"
4,"{'f_select__percentile': 37.07205436301449, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 63, 'scaler__quantile_range': (5, 95)}",60.26305769570172,3.8876799615599418,0.23288832120597364,0.024168206117018785,-0.7896640495584087,-0.7843752584555251,-0.8061591492688228,-0.7880472835724699,-0.7714616623122408,-0.7879417491044032,0.011127912702847114,12,37.07205436301449,24,auto,63,"(5, 95)"
5,"{'f_select__percentile': 54.46238990641989, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 99, 'scaler__quantile_range': (10, 90)}",135.88057368095033,9.253692758528816,0.31780619323253634,0.04730261068578699,-0.7822290832486232,-0.7788055155923644,-0.792436947165775,-0.777301986441401,-0.7616716526311327,-0.7784893109860207,0.00992825060332948,9,54.46238990641989,23,auto,99,"(10, 90)"
6,"{'f_select__percentile': 39.566316302174975, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 63, 'scaler__quantile_range': (5, 95)}",57.39539045901038,3.801327113200631,0.1678732257336378,0.01974154860438408,-0.7911847778664837,-0.7875423073314587,-0.8039558777389455,-0.7836007385394255,-0.7726278278865643,-0.7877825527525115,0.01020149322851795,11,39.566316302174975,17,auto,63,"(5, 95)"
7,"{'f_select__percentile': 18.85286070409613, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 60, 'scaler__quantile_range': (5, 95)}",31.126602171175183,1.837036895362993,0.2769020635634661,0.12095593799085551,-0.8094311396392653,-0.8088147900828835,-0.8267917209432133,-0.8136268122961468,-0.7963407925305521,-0.8110012899270739,0.009781591930324367,17,18.85286070409613,24,auto,60,"(5, 95)"
8,"{'f_select__percentile': 30.346762925726868, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 90, 'scaler__quantile_range': (0.1, 99.9)}",65.55999263841659,8.038450145321141,0.23658874481916428,0.037331327803183136,-0.7754137675995089,-0.766263197925261,-0.7860755330106728,-0.7717043785951712,-0.7572437326289648,-0.7713403515946455,0.009574280560292681,4,30.346762925726868,18,auto,90,"(0.1, 99.9)"
9,"{'f_select__percentile': 26.875369513035352, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 83, 'scaler__quantile_range': (1, 99)}",53.67476549074054,4.674846575537968,0.254206108674407,0.035163806062466704,-0.7769722537954364,-0.7710299962450724,-0.7870159555163333,-0.7729041279711804,-0.752683019443368,-0.7721213872574337,0.011180451110745317,5,26.875369513035352,23,auto,83,"(1, 99)"
