,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__alpha,param_model__regressor__l1_ratio,param_scaler__quantile_range
0,"{'f_select__percentile': 82.03489039799855, 'model__regressor__alpha': 4.088070486432771, 'model__regressor__l1_ratio': 0.4321925567224676, 'scaler__quantile_range': (1, 99)}",2.235670519806445,1.2090897712946118,0.10291507374495268,0.0453930071004899,-0.3014758716235583,-0.3014758716235583,-0.3017565257770516,-0.3014712865457217,-0.3014712865457217,-0.30153017148247735,0.00011319939540829649,120,82.03489039799855,4.088070486432771,0.4321925567224676,"(1, 99)"
1,"{'f_select__percentile': 82.00573285440484, 'model__regressor__alpha': 2.9739589447342216, 'model__regressor__l1_ratio': 0.08084062896070432, 'scaler__quantile_range': (0.5, 99.5)}",5.381188094615936,4.120189652837311,0.09052476976066828,0.027988239787948864,-0.3014758716235583,-0.3014758716235583,-0.3017565257770516,-0.3014712865457217,-0.3014712865457217,-0.30153017148247735,0.00011319939540829649,120,82.00573285440484,2.9739589447342216,0.08084062896070432,"(0.5, 99.5)"
2,"{'f_select__percentile': 34.51712906053459, 'model__regressor__alpha': 4.866448310124283, 'model__regressor__l1_ratio': 0.44549611634732533, 'scaler__quantile_range': (5, 95)}",2.376873802766204,1.1043981951171178,0.09171813745051623,0.044771571864139825,-0.3014758716235583,-0.3014758716235583,-0.3017565257770516,-0.3014712865457217,-0.3014712865457217,-0.30153017148247735,0.00011319939540829649,120,34.51712906053459,4.866448310124283,0.44549611634732533,"(5, 95)"
3,"{'f_select__percentile': 98.01075933604345, 'model__regressor__alpha': 6.292018992181279, 'model__regressor__l1_ratio': 0.47100918787721346, 'scaler__quantile_range': (10, 90)}",2.958679390139878,0.9800355659735656,0.26087219063192607,0.19760292155770284,-0.2982294131905866,-0.2980965507766038,-0.2983259950367941,-0.2984228193951713,-0.2988917345817512,-0.2983932888807322,0.0002715673575456889,102,98.01075933604345,6.292018992181279,0.47100918787721346,"(10, 90)"
4,"{'f_select__percentile': 93.95642308770672, 'model__regressor__alpha': 0.3968610670526995, 'model__regressor__l1_ratio': 0.70252517303417, 'scaler__quantile_range': (0.5, 99.5)}",5.99609685856849,5.347573814778452,0.12852868847548962,0.030968285267052156,-0.3014758716235583,-0.3014758716235583,-0.3017565257770516,-0.3014712865457217,-0.3014712865457217,-0.30153017148247735,0.00011319939540829649,120,93.95642308770672,0.3968610670526995,0.70252517303417,"(0.5, 99.5)"
5,"{'f_select__percentile': 42.550248435133696, 'model__regressor__alpha': 0.6345635425789169, 'model__regressor__l1_ratio': 0.9654374638032611, 'scaler__quantile_range': (0.5, 99.5)}",5.907353894971311,5.884255754215084,0.07511096298694611,0.01950481503308557,-0.3014758716235583,-0.3014758716235583,-0.3017565257770516,-0.3014712865457217,-0.3014712865457217,-0.30153017148247735,0.00011319939540829649,120,42.550248435133696,0.6345635425789169,0.9654374638032611,"(0.5, 99.5)"
6,"{'f_select__percentile': 74.53568178360294, 'model__regressor__alpha': 2.5975658377509903, 'model__regressor__l1_ratio': 0.1429442881459254, 'scaler__quantile_range': (0.5, 99.5)}",10.544685742631554,8.00797670178953,0.21063038799911737,0.2485204292197061,-0.3014758716235583,-0.3014758716235583,-0.3017565257770516,-0.3014712865457217,-0.3014712865457217,-0.30153017148247735,0.00011319939540829649,120,74.53568178360294,2.5975658377509903,0.1429442881459254,"(0.5, 99.5)"
7,"{'f_select__percentile': 17.532182065710444, 'model__regressor__alpha': 4.7409020877308015, 'model__regressor__l1_ratio': 0.3825378694215392, 'scaler__quantile_range': (10, 90)}",2.774107824638486,1.133565625552155,0.05862349756062031,0.016172134673011717,-0.28994106463220204,-0.2898387369875046,-0.29056519124526314,-0.29071211176698747,-0.29127626565298625,-0.29046664664864674,0.000528381236086706,73,17.532182065710444,4.7409020877308015,0.3825378694215392,"(10, 90)"
8,"{'f_select__percentile': 73.70090283045792, 'model__regressor__alpha': 2.2858821345880016, 'model__regressor__l1_ratio': 0.07185432036063777, 'scaler__quantile_range': (1, 99)}",3.7099436074495316,2.0438003937953915,0.17382164504379033,0.1688511407195329,-0.3014758716235583,-0.3014758716235583,-0.3017565257770516,-0.3014712865457217,-0.3014712865457217,-0.30153017148247735,0.00011319939540829649,120,73.70090283045792,2.2858821345880016,0.07185432036063777,"(1, 99)"
9,"{'f_select__percentile': 75.1966561017474, 'model__regressor__alpha': 5.703422086835309, 'model__regressor__l1_ratio': 0.46587104221149456, 'scaler__quantile_range': (5, 95)}",1.7913759667426348,0.3967288742752317,0.07437573224306107,0.03361952033114902,-0.3014758716235583,-0.3014758716235583,-0.3017565257770516,-0.3014712865457217,-0.3014712865457217,-0.30153017148247735,0.00011319939540829649,120,75.1966561017474,5.703422086835309,0.46587104221149456,"(5, 95)"
