,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__alpha,param_model__regressor__l1_ratio,param_scaler__quantile_range
0,"{'f_select__percentile': 61.353278977076286, 'model__regressor__alpha': 1.788392632071851, 'model__regressor__l1_ratio': 0.20944079370326818, 'scaler__quantile_range': (10, 90)}",6.2411369426175956,2.793442759509022,1.024553186632693,0.9865421832526589,-0.21689452859506106,-0.21691306764891755,-0.2172821863412303,-0.2170134250637084,-0.21687281947084316,-0.2169952054239521,0.00015136100002065134,38,61.353278977076286,1.788392632071851,0.20944079370326818,"(10, 90)"
1,"{'f_select__percentile': 22.21696447675533, 'model__regressor__alpha': 0.09181186948809425, 'model__regressor__l1_ratio': 0.819771860133525, 'scaler__quantile_range': (5, 95)}",3.5442469550296662,2.0798963231215426,0.2429398287087679,0.08148223878903914,-0.21763926446952073,-0.21768026624269252,-0.2176934999318349,-0.21756858886322078,-0.21759998285355914,-0.2176363204721656,4.71537524529007e-05,50,22.21696447675533,0.09181186948809425,0.819771860133525,"(5, 95)"
2,"{'f_select__percentile': 77.42693708801191, 'model__regressor__alpha': 0.23182640740324145, 'model__regressor__l1_ratio': 0.23625032424034553, 'scaler__quantile_range': (0.1, 99.9)}",8.113705140165985,2.5059992439261376,0.38901348803192376,0.3234935985169388,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,77.42693708801191,0.23182640740324145,0.23625032424034553,"(0.1, 99.9)"
3,"{'f_select__percentile': 47.53735051020542, 'model__regressor__alpha': 0.5336956030252281, 'model__regressor__l1_ratio': 0.536825352389702, 'scaler__quantile_range': (1, 99)}",5.315513792447746,2.4922150997984436,0.15423718392848967,0.041990521095419085,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,47.53735051020542,0.5336956030252281,0.536825352389702,"(1, 99)"
4,"{'f_select__percentile': 42.465400136043876, 'model__regressor__alpha': 1.3470140959477985, 'model__regressor__l1_ratio': 0.4739010187384667, 'scaler__quantile_range': (10, 90)}",6.199510413082317,2.8943506503272234,0.2331136554479599,0.03993045249552936,-0.21774457581065929,-0.21785157003909913,-0.21776886690311706,-0.21769506452588816,-0.21774706340430472,-0.2177614281366137,5.1137800272789736e-05,52,42.465400136043876,1.3470140959477985,0.4739010187384667,"(10, 90)"
5,"{'f_select__percentile': 53.8422387860945, 'model__regressor__alpha': 0.4732502825530705, 'model__regressor__l1_ratio': 0.9947387308526949, 'scaler__quantile_range': (0.1, 99.9)}",5.616035599308089,2.4144863233203506,0.28587412238121035,0.16870514980858548,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,53.8422387860945,0.4732502825530705,0.9947387308526949,"(0.1, 99.9)"
6,"{'f_select__percentile': 5.972281054705164, 'model__regressor__alpha': 4.552568844132399, 'model__regressor__l1_ratio': 0.09711413437091321, 'scaler__quantile_range': (0.1, 99.9)}",4.966321447864175,2.6667587065435137,1.296335451863706,1.2502541178065436,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,5.972281054705164,4.552568844132399,0.09711413437091321,"(0.1, 99.9)"
7,"{'f_select__percentile': 9.451085771314371, 'model__regressor__alpha': 1.7652264414176735, 'model__regressor__l1_ratio': 0.5436913018851669, 'scaler__quantile_range': (1, 99)}",4.642123584542423,2.8528861019093346,0.32224040273576976,0.14934721135428403,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,9.451085771314371,1.7652264414176735,0.5436913018851669,"(1, 99)"
8,"{'f_select__percentile': 91.58118774728925, 'model__regressor__alpha': 1.8814021970260482, 'model__regressor__l1_ratio': 0.8590855228292255, 'scaler__quantile_range': (5, 95)}",4.464228346571327,2.5211215597829657,0.2494797881692648,0.07718588783273012,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,91.58118774728925,1.8814021970260482,0.8590855228292255,"(5, 95)"
9,"{'f_select__percentile': 11.768464533714562, 'model__regressor__alpha': 1.7527798061568869, 'model__regressor__l1_ratio': 0.027901151465478002, 'scaler__quantile_range': (1, 99)}",6.7170781549066305,5.4467806786401285,0.17337113041430713,0.03838755096998201,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,11.768464533714562,1.7527798061568869,0.027901151465478002,"(1, 99)"
