,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__alpha,param_model__regressor__l1_ratio,param_scaler__quantile_range
0,"{'f_select__percentile': 29.339740743657295, 'model__regressor__alpha': 3.624679735368057, 'model__regressor__l1_ratio': 0.5696273823555983, 'scaler__quantile_range': (5, 95)}",7.487360703013837,5.469611275471126,0.15796209797263144,0.01284447975507467,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,29.339740743657295,3.624679735368057,0.5696273823555983,"(5, 95)"
1,"{'f_select__percentile': 97.74075035180863, 'model__regressor__alpha': 0.46856590373481394, 'model__regressor__l1_ratio': 0.10306905765353047, 'scaler__quantile_range': (1, 99)}",10.121497653983534,3.23812304528151,0.5747854348272086,0.47823015492414817,-1.0393027790624998,-1.0406064401346735,-1.0406500045817428,-1.040311064534189,-1.0403798662014596,-1.0402500287877805,0.0004908957318350602,43,97.74075035180863,0.46856590373481394,0.10306905765353047,"(1, 99)"
2,"{'f_select__percentile': 18.828290595087882, 'model__regressor__alpha': 1.4931398206705127, 'model__regressor__l1_ratio': 0.15301761135405467, 'scaler__quantile_range': (1, 99)}",7.725084208324551,3.353266626604558,0.34332263842225075,0.3065863424436437,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,18.828290595087882,1.4931398206705127,0.15301761135405467,"(1, 99)"
3,"{'f_select__percentile': 47.37977651806761, 'model__regressor__alpha': 2.5070956548420344, 'model__regressor__l1_ratio': 0.8281531617048069, 'scaler__quantile_range': (0.5, 99.5)}",10.793382642045618,3.9415145625362347,0.27629957552999257,0.1524891678569244,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,47.37977651806761,2.5070956548420344,0.8281531617048069,"(0.5, 99.5)"
4,"{'f_select__percentile': 43.385420932919104, 'model__regressor__alpha': 0.6462026745372873, 'model__regressor__l1_ratio': 0.04588472007501587, 'scaler__quantile_range': (0.1, 99.9)}",10.035551546886563,4.3309355347735945,0.6010756814852357,0.8682795828466819,-1.0338337475465658,-1.0355014444384743,-1.034975594078694,-1.0347763558441547,-1.0351465025334516,-1.0348467240046886,0.0005596828899016269,38,43.385420932919104,0.6462026745372873,0.04588472007501587,"(0.1, 99.9)"
5,"{'f_select__percentile': 36.47771874821232, 'model__regressor__alpha': 0.052104156416118416, 'model__regressor__l1_ratio': 0.5066631664809355, 'scaler__quantile_range': (1, 99)}",9.318518473580479,3.740229538537088,0.44451695755124093,0.36093091902428187,-0.9905842584956809,-0.9958424562512117,-0.9940041838324759,-0.992949539798774,-0.9942215600771847,-0.9935203882685386,0.0017357782781253592,15,36.47771874821232,0.052104156416118416,0.5066631664809355,"(1, 99)"
6,"{'f_select__percentile': 73.43080485532961, 'model__regressor__alpha': 1.3980653564531629, 'model__regressor__l1_ratio': 0.8674197470693272, 'scaler__quantile_range': (5, 95)}",6.935776447318494,5.456053104397208,0.14995647668838502,0.09944585828424003,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,73.43080485532961,1.3980653564531629,0.8674197470693272,"(5, 95)"
7,"{'f_select__percentile': 43.67027878069734, 'model__regressor__alpha': 0.4678154106770448, 'model__regressor__l1_ratio': 0.691367564598931, 'scaler__quantile_range': (5, 95)}",6.8283293262124065,4.302993380080775,0.2123862113803625,0.13188591831373717,-1.0669402520084017,-1.0670714707649367,-1.0670025123861713,-1.0673884168950685,-1.0673568392374575,-1.0671518949197363,0.00018521344393445513,113,43.67027878069734,0.4678154106770448,0.691367564598931,"(5, 95)"
8,"{'f_select__percentile': 41.83140137371154, 'model__regressor__alpha': 1.3922961376071337, 'model__regressor__l1_ratio': 0.2577932766500117, 'scaler__quantile_range': (0.1, 99.9)}",11.007504240050912,3.7578269028701285,0.1103076122701168,0.025673299382607873,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,41.83140137371154,1.3922961376071337,0.2577932766500117,"(0.1, 99.9)"
9,"{'f_select__percentile': 2.895612911158907, 'model__regressor__alpha': 1.755648214499272, 'model__regressor__l1_ratio': 0.26125117179897495, 'scaler__quantile_range': (1, 99)}",7.273005507513881,3.3928399584224382,0.136983697488904,0.04439776284897701,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,2.895612911158907,1.755648214499272,0.26125117179897495,"(1, 99)"
10,"{'f_select__percentile': 61.52613526766285, 'model__regressor__alpha': 0.45987414044173763, 'model__regressor__l1_ratio': 0.520690132195072, 'scaler__quantile_range': (5, 95)}",8.851138520613313,4.170996123669741,0.39641689229756594,0.36481767707427454,-1.0621177580655683,-1.0627812034471937,-1.062685805210043,-1.0633009763330499,-1.0636171866282493,-1.0629005742627577,0.0005190397963998456,101,61.52613526766285,0.45987414044173763,0.520690132195072,"(5, 95)"
11,"{'f_select__percentile': 8.236511428109427, 'model__regressor__alpha': 0.29228758369987945, 'model__regressor__l1_ratio': 0.4847357539638517, 'scaler__quantile_range': (0.5, 99.5)}",7.47739232107997,2.5347967826354316,0.2872051628306508,0.32051146272771813,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,8.236511428109427,0.29228758369987945,0.4847357539638517,"(0.5, 99.5)"
12,"{'f_select__percentile': 71.86335191946075, 'model__regressor__alpha': 2.050869289269465, 'model__regressor__l1_ratio': 0.9902585401327867, 'scaler__quantile_range': (1, 99)}",9.273619559779764,3.6817028280236994,0.34683388099074364,0.3353385592254185,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,71.86335191946075,2.050869289269465,0.9902585401327867,"(1, 99)"
13,"{'f_select__percentile': 56.37504533659261, 'model__regressor__alpha': 0.8094531411978549, 'model__regressor__l1_ratio': 0.46834339641380496, 'scaler__quantile_range': (0.5, 99.5)}",7.391244666464627,3.9036524857458037,0.32159753106534483,0.24950022541808428,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,56.37504533659261,0.8094531411978549,0.46834339641380496,"(0.5, 99.5)"
14,"{'f_select__percentile': 90.72068190685118, 'model__regressor__alpha': 5.455533260016809, 'model__regressor__l1_ratio': 0.07523149595207956, 'scaler__quantile_range': (1, 99)}",7.920881238207221,4.225093716569542,0.33940951377153394,0.24864086715431014,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,90.72068190685118,5.455533260016809,0.07523149595207956,"(1, 99)"
15,"{'f_select__percentile': 82.83358699994324, 'model__regressor__alpha': 0.926770219094872, 'model__regressor__l1_ratio': 0.8964989440437562, 'scaler__quantile_range': (5, 95)}",9.311289700865746,5.291823046284659,0.15177180320024491,0.030508255975987213,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,82.83358699994324,0.926770219094872,0.8964989440437562,"(5, 95)"
16,"{'f_select__percentile': 89.62282841106827, 'model__regressor__alpha': 0.7369470332687748, 'model__regressor__l1_ratio': 0.3500309665850121, 'scaler__quantile_range': (5, 95)}",6.807520129345358,5.104548038757501,0.6163719974458217,0.8677573543812722,-1.063179798318973,-1.0638301848494633,-1.0639948133954782,-1.0643080765222712,-1.0647357335799215,-1.0640097095058356,0.000517168494392558,104,89.62282841106827,0.7369470332687748,0.3500309665850121,"(5, 95)"
17,"{'f_select__percentile': 44.76792802493181, 'model__regressor__alpha': 0.5951718111967691, 'model__regressor__l1_ratio': 0.2304299450733791, 'scaler__quantile_range': (1, 99)}",9.080541055835784,3.9159830217436085,0.2193861285224557,0.0939816591971133,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,44.76792802493181,0.5951718111967691,0.2304299450733791,"(1, 99)"
18,"{'f_select__percentile': 63.47653197419736, 'model__regressor__alpha': 0.32694243560201214, 'model__regressor__l1_ratio': 0.7305721426323144, 'scaler__quantile_range': (10, 90)}",7.481614484265447,6.117720679439966,0.3445078879594803,0.2992706380026494,-1.0536771410989583,-1.0541502833978382,-1.0526134419745494,-1.0549446632615234,-1.0543871072013096,-1.0539545203397256,0.0007850226687158504,54,63.47653197419736,0.32694243560201214,0.7305721426323144,"(10, 90)"
19,"{'f_select__percentile': 45.098861416215804, 'model__regressor__alpha': 0.39146994998777646, 'model__regressor__l1_ratio': 0.822004601410814, 'scaler__quantile_range': (0.1, 99.9)}",11.61413718611002,5.025181054684485,0.7259124390780926,0.9842546747136409,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,45.098861416215804,0.39146994998777646,0.822004601410814,"(0.1, 99.9)"
20,"{'f_select__percentile': 57.71624559930621, 'model__regressor__alpha': 1.0043988479352621, 'model__regressor__l1_ratio': 0.014082123964506144, 'scaler__quantile_range': (1, 99)}",8.895029111765325,5.5275680397153435,0.309078486263752,0.28993281113176333,-1.0248499166358471,-1.0266587319545633,-1.0261163552172718,-1.0261238954355798,-1.026627528500663,-1.0260752765522556,0.0006558918809043995,30,57.71624559930621,1.0043988479352621,0.014082123964506144,"(1, 99)"
21,"{'f_select__percentile': 43.62534010031492, 'model__regressor__alpha': 2.8474928008601115, 'model__regressor__l1_ratio': 0.8409021874696629, 'scaler__quantile_range': (5, 95)}",7.944640266522765,5.909976583975309,0.16495666950941085,0.03990657163523068,-1.0675630466244352,-1.067669266968179,-1.067669266968179,-1.0679879727840496,-1.067966833806468,-1.067771274244475,0.00017284144654036628,120,43.62534010031492,2.8474928008601115,0.8409021874696629,"(5, 95)"
22,"{'f_select__percentile': 84.8878768580112, 'model__regressor__alpha': 0.20737960038838887, 'model__regressor__l1_ratio': 0.46877211070551783, 'scaler__quantile_range': (5, 95)}",10.846897787600756,5.514905453829143,0.2667755715548992,0.14128491406697832,-1.0468186618681012,-1.0470603086871964,-1.045886612777601,-1.0480737870417525,-1.047810112496526,-1.0471298854929125,0.0007747384374367667,48,84.8878768580112,0.20737960038838887,0.46877211070551783,"(5, 95)"
