,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 26.28253506606688, 'model__regressor__max_depth': 6, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 78, 'scaler__quantile_range': (10, 90)}",140.62402197048067,9.151601585965086,0.11374666895717382,0.045548188365563645,-0.2111836780412513,-0.20833471615273938,-0.21283812316367437,-0.2126197435848378,-0.20987250606322397,-0.21096973904157748,0.0016974479933829425,186,26.28253506606688,6,auto,78,"(10, 90)"
1,"{'f_select__percentile': 0.02502751674076098, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 0.05, 'model__regressor__n_estimators': 95, 'scaler__quantile_range': (5, 95)}",4.326614464819431,0.6126864154643329,0.11377229802310466,0.016431572274718823,-0.2925781514183249,-0.2948591933503138,-0.2929525905436109,-0.2935074501402115,-0.293582622217545,-0.2934959989862837,0.0007750903885771848,299,0.02502751674076098,11,0.05,95,"(5, 95)"
2,"{'f_select__percentile': 68.7165127485731, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 'sqrt', 'model__regressor__n_estimators': 20, 'scaler__quantile_range': (5, 95)}",11.486683360789902,0.8676918269353895,0.15731327868998052,0.08251167448272459,-0.17478414021276698,-0.17585838897246409,-0.1788526484949409,-0.17476689960589886,-0.1753447089074486,-0.1759214022106719,0.001520222073663002,95,68.7165127485731,13,sqrt,20,"(5, 95)"
3,"{'f_select__percentile': 36.82181119317109, 'model__regressor__max_depth': 5, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 14, 'scaler__quantile_range': (0.5, 99.5)}",28.12548161558807,2.9537425933629744,0.12531432937830686,0.11870986040020802,-0.20942533368064203,-0.20964017773945276,-0.20898923363099187,-0.21002796296238518,-0.20779560749718087,-0.20917567681256477,0.0007672867684575589,180,36.82181119317109,5,auto,14,"(0.5, 99.5)"
4,"{'f_select__percentile': 71.56146762022671, 'model__regressor__max_depth': 9, 'model__regressor__max_features': 0.05, 'model__regressor__n_estimators': 26, 'scaler__quantile_range': (0.1, 99.9)}",9.8199386383174,1.3224443537748545,0.10553394332528114,0.028284702790550047,-0.180824206744856,-0.18201536467054316,-0.1865135319803763,-0.18589088567158712,-0.18228151933013076,-0.18350507148695347,0.002264803947143182,116,71.56146762022671,9,0.05,26,"(0.1, 99.9)"
5,"{'f_select__percentile': 31.163569959007354, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 27, 'scaler__quantile_range': (0.5, 99.5)}",30.440053478628396,2.0278217707046613,0.1691598052158952,0.06182798438649688,-0.16178133198383512,-0.15906769928119602,-0.16218870942306035,-0.16097404535695822,-0.1621994696643299,-0.1612422332421867,0.0011750318449758263,40,31.163569959007354,17,0.25,27,"(0.5, 99.5)"
6,"{'f_select__percentile': 34.88782260355848, 'model__regressor__max_depth': 16, 'model__regressor__max_features': 'log2', 'model__regressor__n_estimators': 35, 'scaler__quantile_range': (0.1, 99.9)}",7.89320595562458,0.7897300248288621,0.16247534807771444,0.10127581187742761,-0.16877135864914916,-0.16857806995343003,-0.17009707659755718,-0.1732226791511544,-0.16990578998737715,-0.17011491956886357,0.001665457670244201,70,34.88782260355848,16,log2,35,"(0.1, 99.9)"
7,"{'f_select__percentile': 53.469056319569084, 'model__regressor__max_depth': 3, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 79, 'scaler__quantile_range': (0.1, 99.9)}",141.56696854792534,11.212121666881291,0.19956587002961895,0.13104574995876675,-0.22703657927718487,-0.23163620948181946,-0.2329930918707913,-0.23213516095903147,-0.2321016488304481,-0.2311804893546414,0.0021178323185530017,227,53.469056319569084,3,auto,79,"(0.1, 99.9)"
8,"{'f_select__percentile': 74.9846742334478, 'model__regressor__max_depth': 7, 'model__regressor__max_features': 'log2', 'model__regressor__n_estimators': 88, 'scaler__quantile_range': (0.1, 99.9)}",11.825032672774977,1.901827543806649,0.21920605041086674,0.15476568167124952,-0.20771975291592934,-0.20921174773861903,-0.2121431263208784,-0.2080121179785213,-0.20920919042000416,-0.20925922077093653,0.001565076903598214,181,74.9846742334478,7,log2,88,"(0.1, 99.9)"
9,"{'f_select__percentile': 68.68354706339242, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 47, 'scaler__quantile_range': (0.1, 99.9)}",82.78952819835395,4.74523974182849,0.11444913186132907,0.020912341763778788,-0.16011318649047163,-0.15970839808518267,-0.1620154633285776,-0.16164103098337865,-0.15860120197096245,-0.16041587148565192,0.0012605286355137153,35,68.68354706339242,11,0.25,47,"(0.1, 99.9)"
