,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 39.05035020224011, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 86, 'scaler__quantile_range': (1, 99)}",212.18498474452645,34.100320871194555,0.4036563490051776,0.1640112415691845,-0.1636919113186713,-0.16266394502180687,-0.1626252111329405,-0.1634946529341535,-0.16147730384782533,-0.1627906048510795,0.0007843716429477316,67,39.05035020224011,11,0.25,86,"(1, 99)"
1,"{'f_select__percentile': 5.889546142828372, 'model__regressor__max_depth': 3, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 5, 'scaler__quantile_range': (10, 90)}",9.836681238934398,5.17325722714869,0.10289265885949135,0.011937021091485391,-0.20564745198748297,-0.20309842442082968,-0.20648880862624336,-0.20360679194635745,-0.20250433439344379,-0.20426916227487146,0.0015330030321624225,266,5.889546142828372,3,auto,5,"(10, 90)"
2,"{'f_select__percentile': 18.449966254494864, 'model__regressor__max_depth': 2, 'model__regressor__max_features': 'sqrt', 'model__regressor__n_estimators': 7, 'scaler__quantile_range': (0.5, 99.5)}",4.505275025963783,1.823925936532709,0.10987867265939713,0.02041814620827693,-0.212368764146128,-0.21065447983593216,-0.21346498687984028,-0.20925878002593637,-0.20859865062913344,-0.21086913230339405,0.0018320345967394998,294,18.449966254494864,2,sqrt,7,"(0.5, 99.5)"
3,"{'f_select__percentile': 6.41978494056813, 'model__regressor__max_depth': 5, 'model__regressor__max_features': 'sqrt', 'model__regressor__n_estimators': 39, 'scaler__quantile_range': (1, 99)}",14.904684862517751,4.396654092779116,0.11733392616733909,0.012789982402007615,-0.20572906803836838,-0.20433090813325325,-0.20545839752328068,-0.20489860092250256,-0.2047362861500824,-0.20503065215349744,0.0005028879427968754,274,6.41978494056813,5,sqrt,39,"(1, 99)"
4,"{'f_select__percentile': 33.28643842090009, 'model__regressor__max_depth': 7, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 40, 'scaler__quantile_range': (5, 95)}",211.24033322408795,22.22979140209742,0.151033123023808,0.024597151143491182,-0.1854659675402204,-0.18615777485298024,-0.18177920314368753,-0.18516121852161485,-0.18426511343206378,-0.18456585549811336,0.0015201804619990025,185,33.28643842090009,7,auto,40,"(5, 95)"
5,"{'f_select__percentile': 5.922528804074123, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'sqrt', 'model__regressor__n_estimators': 21, 'scaler__quantile_range': (0.1, 99.9)}",11.064574926462956,2.3895720984660516,0.1938707595691085,0.047930326773316045,-0.20527646443335695,-0.20375346186203902,-0.20398720433500078,-0.2043919329080824,-0.20521656521280815,-0.20452512575025744,0.0006237248248503311,267,5.922528804074123,17,sqrt,21,"(0.1, 99.9)"
6,"{'f_select__percentile': 54.790113046575506, 'model__regressor__max_depth': 8, 'model__regressor__max_features': 0.05, 'model__regressor__n_estimators': 19, 'scaler__quantile_range': (5, 95)}",13.695951467938722,3.83356914830353,0.19727935865521432,0.1232477671173843,-0.18470691737614017,-0.18374064420707892,-0.18407222920308572,-0.18472583877848336,-0.18388733155154635,-0.1842265922232669,0.000413528861191334,184,54.790113046575506,8,0.05,19,"(5, 95)"
7,"{'f_select__percentile': 68.47758527544762, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 53, 'scaler__quantile_range': (5, 95)}",281.47912774928847,13.02013989164992,0.3215769821312279,0.07286991022509544,-0.15850237103304693,-0.1587522408727749,-0.15715904371206665,-0.1578913119853957,-0.1570623547382044,-0.1578734644682977,0.0006835767669110576,43,68.47758527544762,17,0.25,53,"(5, 95)"
8,"{'f_select__percentile': 71.96728562570708, 'model__regressor__max_depth': 6, 'model__regressor__max_features': 'sqrt', 'model__regressor__n_estimators': 65, 'scaler__quantile_range': (0.5, 99.5)}",35.065544503368436,4.818158028806952,0.23297578543424607,0.1229855874088894,-0.1865041224066004,-0.18440934868939649,-0.18466643740393224,-0.18486397624875942,-0.18362034531532131,-0.18481284601280198,0.000945445252300444,186,71.96728562570708,6,sqrt,65,"(0.5, 99.5)"
9,"{'f_select__percentile': 25.755118456317085, 'model__regressor__max_depth': 6, 'model__regressor__max_features': 0.05, 'model__regressor__n_estimators': 21, 'scaler__quantile_range': (1, 99)}",12.067952272109688,4.253810580370176,0.20645152702927588,0.09725512024415633,-0.1945167890437145,-0.19563337375883122,-0.19512449575522225,-0.19575794119907985,-0.1945978437771837,-0.1951260887068063,0.0005112469107213744,223,25.755118456317085,6,0.05,21,"(1, 99)"
