,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 74.42313715714018, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 36, 'scaler__quantile_range': (1, 99)}",185.33748676460817,10.21164039825863,0.6202078431844711,0.42701355828552295,-0.541834903034595,-0.5451553489598382,-0.5383763943986299,-0.550722951682956,-0.5587503290274516,-0.5469677934758289,0.007160529073597331,2,74.42313715714018,19,0.25,36,"(1, 99)"
1,"{'f_select__percentile': 13.926105529786682, 'model__regressor__max_depth': 3, 'model__regressor__max_features': 'log2', 'model__regressor__n_estimators': 8, 'scaler__quantile_range': (1, 99)}",2.7291912827757185,1.1230478097078176,0.33496267641894517,0.3090657173676178,-0.9705953452493599,-0.9646410343100248,-0.9677186653698561,-0.972832782564482,-1.0187529040679661,-0.9789074972057669,0.02011107168752688,290,13.926105529786682,3,log2,8,"(1, 99)"
2,"{'f_select__percentile': 72.3764687725194, 'model__regressor__max_depth': 6, 'model__regressor__max_features': 0.05, 'model__regressor__n_estimators': 57, 'scaler__quantile_range': (0.5, 99.5)}",28.57949303369969,3.611663654525663,0.2382085332646966,0.17568668982303323,-0.7465076499240341,-0.7398954834635462,-0.7443695899801334,-0.7440456007639942,-0.7577324422569192,-0.7465099704566486,0.006005703003121604,173,72.3764687725194,6,0.05,57,"(0.5, 99.5)"
3,"{'f_select__percentile': 75.39020142085721, 'model__regressor__max_depth': 5, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 82, 'scaler__quantile_range': (1, 99)}",147.00117984416428,4.921276784055482,0.29519990738481283,0.29915916707098866,-0.7696655469875361,-0.7629213614405798,-0.7645054432125596,-0.7683774073256687,-0.7761221725896668,-0.7683182591805772,0.004612604268322099,186,75.39020142085721,5,0.25,82,"(1, 99)"
4,"{'f_select__percentile': 57.098561001679585, 'model__regressor__max_depth': 3, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 34, 'scaler__quantile_range': (10, 90)}",126.90579301230609,9.331453223208964,0.3130852498114109,0.3883488928427752,-0.8786404616320533,-0.8832504410006771,-0.8778136163748057,-0.8696552542155894,-0.8805386754574365,-0.8779796480479571,0.004562692532210437,246,57.098561001679585,3,auto,34,"(10, 90)"
5,"{'f_select__percentile': 42.53466034455696, 'model__regressor__max_depth': 8, 'model__regressor__max_features': 'log2', 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (0.1, 99.9)}",17.190950097289168,6.908993157858448,0.1585791975259781,0.011921689487453006,-0.7151659469372861,-0.7086666956468457,-0.7069103367588208,-0.7049617263933792,-0.7245918541090349,-0.7120591078028062,0.007142893919809546,150,42.53466034455696,8,log2,56,"(0.1, 99.9)"
6,"{'f_select__percentile': 64.50149778506264, 'model__regressor__max_depth': 4, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 97, 'scaler__quantile_range': (10, 90)}",526.5067113284022,18.56809586966984,0.18265324663370847,0.03833411564497609,-0.8225863229253466,-0.8191574491705862,-0.8226265642335714,-0.8200774192749795,-0.8234113989356932,-0.8215718009398348,0.0016485216400714117,218,64.50149778506264,4,auto,97,"(10, 90)"
7,"{'f_select__percentile': 99.59991644505135, 'model__regressor__max_depth': 3, 'model__regressor__max_features': 0.05, 'model__regressor__n_estimators': 33, 'scaler__quantile_range': (10, 90)}",14.316486819536658,3.085159505242601,0.2918779252097011,0.26832906394097955,-0.8836544821758741,-0.8739617816594222,-0.87850668845161,-0.8731812142149163,-0.8802252603553172,-0.877905847586745,0.00391576588319548,245,99.59991644505135,3,0.05,33,"(10, 90)"
8,"{'f_select__percentile': 13.661134743541027, 'model__regressor__max_depth': 5, 'model__regressor__max_features': 'log2', 'model__regressor__n_estimators': 52, 'scaler__quantile_range': (5, 95)}",8.856083777325694,1.1102910472822223,0.2256787646561861,0.13219375343983336,-0.896645575565835,-0.8854569039436978,-0.8882845305993226,-0.8902943580705388,-0.8981060811843569,-0.8917573864485465,0.004859963335063807,254,13.661134743541027,5,log2,52,"(5, 95)"
9,"{'f_select__percentile': 20.167347759073994, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 'sqrt', 'model__regressor__n_estimators': 36, 'scaler__quantile_range': (1, 99)}",19.28084517278476,4.735443162353461,0.3673971675336361,0.24771344930162195,-0.7145465500877126,-0.7072321431024667,-0.7118281913710942,-0.7035319270453886,-0.7227168268492029,-0.7119709526341684,0.0065695581902050285,149,20.167347759073994,14,sqrt,36,"(1, 99)"
