,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 96.57829643966434, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 66, 'scaler__quantile_range': (1, 99)}",1.541054967790842,0.1064250446356787,0.012576058506965637,0.00463603399358143,-0.16528379028379026,-0.27838449429358525,-0.1622392758756395,-0.26882460973370065,-0.208974445116352,-0.21677848515604065,0.04949364742187583,13,96.57829643966434,18,auto,66,"(1, 99)"
1,"{'f_select__percentile': 76.40867963285974, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 77, 'scaler__quantile_range': (0.5, 99.5)}",1.4599663957953453,0.08484356921760768,0.013155283406376839,0.004419127351256302,-0.18472560216530534,-0.2874410685171353,-0.16781919379321977,-0.26972748957906656,-0.1958459658808091,-0.22123275345173063,0.04817773139498368,31,76.40867963285974,23,auto,77,"(0.5, 99.5)"
2,"{'f_select__percentile': 17.022407614566404, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 70, 'scaler__quantile_range': (0.1, 99.9)}",0.3457484748214483,0.06997414207187087,0.009982846677303314,0.0009231573665547146,-0.18257045675413025,-0.3027648202137998,-0.18299319727891156,-0.24982507288629735,-0.21931806869089096,-0.2275334439996094,0.04533652838422727,68,17.022407614566404,17,0.25,70,"(0.1, 99.9)"
3,"{'f_select__percentile': 31.83110212173753, 'model__regressor__max_depth': 12, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 82, 'scaler__quantile_range': (0.1, 99.9)}",0.43004606291651726,0.058232641157804056,0.01857263296842575,0.007441279813950892,-0.1700401131838463,-0.30841194300444746,-0.1861632814934421,-0.2502337044276366,-0.20232585133703807,-0.22353597929862298,0.050348263564604735,48,31.83110212173753,12,0.25,82,"(0.1, 99.9)"
4,"{'f_select__percentile': 83.74241774858794, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (5, 95)}",0.49518842101097105,0.018225326986957124,0.010945222154259682,0.0027766889308009518,-0.16913417152575314,-0.27547224246841595,-0.18118318756073862,-0.25879950194363455,-0.1865200348432056,-0.21435437213162778,0.04395054776701726,7,83.74241774858794,11,0.25,56,"(5, 95)"
5,"{'f_select__percentile': 96.6327861691974, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 59, 'scaler__quantile_range': (5, 95)}",1.322835774719715,0.03826880161854741,0.009302466362714767,0.0008973215588727858,-0.19074978454467104,-0.3094280515998414,-0.17061326110449926,-0.2645244251104636,-0.2187484672893268,-0.23087052199981034,0.050494821597122624,81,96.6327861691974,19,auto,59,"(5, 95)"
6,"{'f_select__percentile': 79.07366461136408, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 73, 'scaler__quantile_range': (0.1, 99.9)}",0.6370921734720468,0.042716943755977586,0.01847154088318348,0.0077857296433790045,-0.16436568998025183,-0.30035117818942175,-0.18350624167850665,-0.25058753094031755,-0.19491141430461031,-0.21885844449572214,0.04997260077426306,24,79.07366461136408,19,0.25,73,"(0.1, 99.9)"
7,"{'f_select__percentile': 65.5558382903309, 'model__regressor__max_depth': 16, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 77, 'scaler__quantile_range': (0.5, 99.5)}",1.2777349511161447,0.08490580932237499,0.012620709836483002,0.002294773096437434,-0.1761077512468978,-0.27765061160237414,-0.1732967094748171,-0.27559453533479505,-0.18156724491852783,-0.21701215580541994,0.04894198250082423,14,65.5558382903309,16,auto,77,"(0.5, 99.5)"
8,"{'f_select__percentile': 64.5301355616203, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (10, 90)}",0.3919377434998751,0.024229348391433637,0.012042676284909248,0.005259712789311671,-0.18468324829931973,-0.30704112001943634,-0.17646835519922252,-0.25534499514091347,-0.19718298904927825,-0.22427314227126255,0.049888510422785644,52,64.5301355616203,24,0.25,56,"(10, 90)"
9,"{'f_select__percentile': 13.201341192549776, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 88, 'scaler__quantile_range': (0.5, 99.5)}",0.5192692827433347,0.10192038924144758,0.033199083805084226,0.02204719409955654,-0.15998253640299095,-0.32019259149940965,-0.17567210251869345,-0.29956525482093666,-0.23451043136464425,-0.23800120605796987,0.06423006695723533,87,13.201341192549776,15,auto,88,"(0.5, 99.5)"
10,"{'f_select__percentile': 48.785913117947324, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 52, 'scaler__quantile_range': (1, 99)}",0.4417673747986555,0.014539656413906197,0.01854595970362425,0.018377782034935772,-0.16966046773739082,-0.3051475767821921,-0.17886200338123417,-0.26394759087066777,-0.1928037956415067,-0.22222438492681407,0.05324057648778234,38,48.785913117947324,13,0.25,52,"(1, 99)"
