,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 60.19057591309006, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 57, 'scaler__quantile_range': (1, 99)}",48.57620872631669,0.6436804373160488,0.06355677954852582,0.03630854525725486,-0.389056046708437,-0.40501967616216455,-0.3937675441084128,-0.3868082890137133,-0.3970040583427648,-0.39433006276336885,0.0064204885343487885,7,60.19057591309006,19,auto,57,"(1, 99)"
1,"{'f_select__percentile': 17.37491283979814, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 54, 'scaler__quantile_range': (1, 99)}",4.14767500013113,0.10994086699530115,0.06431035585701465,0.022816379033574165,-0.4158667004390104,-0.4276580961632129,-0.4104818641213539,-0.4135074099025547,-0.42381591085287423,-0.4182655141221966,0.006449349603636562,19,17.37491283979814,18,0.25,54,"(1, 99)"
2,"{'f_select__percentile': 30.917978918112144, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 53, 'scaler__quantile_range': (10, 90)}",17.865252259001135,1.112127250425674,0.06218454465270042,0.020078115074616883,-0.4033786581143443,-0.42324020177893773,-0.4019910733803329,-0.40091234710237345,-0.4254485137450924,-0.41099262837793205,0.01095012363602888,16,30.917978918112144,10,auto,53,"(10, 90)"
3,"{'f_select__percentile': 80.09300990362563, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 57, 'scaler__quantile_range': (0.5, 99.5)}",18.00773364044726,0.4129011366740626,0.021107538416981698,0.002061479488767801,-0.3828774438661126,-0.41259624667063943,-0.38649247554008886,-0.38446399808776544,-0.40328263063249387,-0.3939403352626569,0.011857169675788343,6,80.09300990362563,22,0.25,57,"(0.5, 99.5)"
4,"{'f_select__percentile': 35.73801834341979, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 93, 'scaler__quantile_range': (0.5, 99.5)}",13.764411032572388,0.8080403848014605,0.0823323036544025,0.031209302972699776,-0.3804937384612252,-0.41537420487314525,-0.39554748899351294,-0.39329843925798447,-0.3997548449143768,-0.3968904474791408,0.011256598443360652,10,35.73801834341979,23,0.25,93,"(0.5, 99.5)"
5,"{'f_select__percentile': 10.236149006816476, 'model__regressor__max_depth': 12, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 99, 'scaler__quantile_range': (5, 95)}",3.829801092669368,0.13532384904713485,0.05919676348567009,0.04168494730577132,-0.3858254002452499,-0.41348664002749796,-0.3884632214063598,-0.39649848913055863,-0.39801541099370336,-0.39645569561788546,0.009689062451117598,9,10.236149006816476,12,0.25,99,"(5, 95)"
6,"{'f_select__percentile': 83.96377898187743, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 61, 'scaler__quantile_range': (5, 95)}",82.18785676220432,4.59895522945106,0.0516209676861763,0.028529040367203936,-0.39999088932599264,-0.415611013330903,-0.3994348412867927,-0.39842479219808913,-0.4121115280866535,-0.40511358315848367,0.007243906891810258,15,83.96377898187743,22,auto,61,"(5, 95)"
7,"{'f_select__percentile': 69.54917260517148, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (0.1, 99.9)}",13.81139083057642,0.22166061449326468,0.06565320119261742,0.022116738272805345,-0.3803436221198511,-0.4093445908327618,-0.38786594455735485,-0.3888131193592906,-0.3889518565384383,-0.3910616722995936,0.00968383089968871,3,69.54917260517148,17,0.25,56,"(0.1, 99.9)"
8,"{'f_select__percentile': 36.46157385615504, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 52, 'scaler__quantile_range': (0.5, 99.5)}",7.702305501699447,0.24373128335049216,0.03765654973685741,0.01526240539872634,-0.38034767853354207,-0.41217553191466716,-0.40516328488228026,-0.39345332201350797,-0.4053303626716178,-0.3992902284554001,0.011226136437900044,13,36.46157385615504,21,0.25,52,"(0.5, 99.5)"
9,"{'f_select__percentile': 39.73265351812094, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 81, 'scaler__quantile_range': (10, 90)}",40.04744755551219,2.7743522025154683,0.040970057249069214,0.0009802169313021592,-0.4070338461003846,-0.41823112796407563,-0.4049629139038285,-0.40274915798002575,-0.4231516104949995,-0.411224888868006,0.00799878253397837,17,39.73265351812094,13,auto,81,"(10, 90)"
10,"{'f_select__percentile': 68.34479408600454, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 54, 'scaler__quantile_range': (1, 99)}",59.412499049305914,3.1788867608730484,0.03390621170401573,0.002878120128456298,-0.39607177257283194,-0.40857956214189367,-0.3968206730110815,-0.3863750335579409,-0.40142969476254964,-0.3978549887738422,0.007263390552562848,11,68.34479408600454,24,auto,54,"(1, 99)"
11,"{'f_select__percentile': 32.28454057811062, 'model__regressor__max_depth': 12, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 66, 'scaler__quantile_range': (1, 99)}",6.810305236652494,0.1507155376457014,0.06120746359229088,0.005222403408406597,-0.3837684451977247,-0.4223645979210669,-0.3848201122509935,-0.389760157421596,-0.39717923591183923,-0.39557613633539024,0.014206112287514616,8,32.28454057811062,12,0.25,66,"(1, 99)"
12,"{'f_select__percentile': 96.96612717489774, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 83, 'scaler__quantile_range': (0.5, 99.5)}",102.34811129644513,3.5823046391097773,0.040112067759037015,0.00783814885398892,-0.3943608576815589,-0.4146620968327718,-0.39474131609423646,-0.38917291199439435,-0.40292547480833185,-0.39917156450601254,0.00890769331511252,12,96.96612717489774,17,auto,83,"(0.5, 99.5)"
13,"{'f_select__percentile': 55.90240676727155, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 74, 'scaler__quantile_range': (0.1, 99.9)}",14.91708896458149,0.87923920545259,0.05984740406274795,0.049996131659321104,-0.37999381078401073,-0.40055483241492096,-0.3904000402512248,-0.3825940363821576,-0.3921734263979745,-0.3891413905365597,0.007316016176624538,1,55.90240676727155,18,0.25,74,"(0.1, 99.9)"
14,"{'f_select__percentile': 17.75890076581622, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 73, 'scaler__quantile_range': (0.5, 99.5)}",5.289059036970139,0.11684925995700397,0.06643343605101108,0.040107049227173466,-0.4012375203934746,-0.4383528037445632,-0.4120943904870269,-0.40694439019485984,-0.41011958858906994,-0.4137472241684772,0.012838138626856491,18,17.75890076581622,22,0.25,73,"(0.5, 99.5)"
15,"{'f_select__percentile': 33.35571646910096, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 77, 'scaler__quantile_range': (0.5, 99.5)}",7.195595435239374,0.35757974137465026,0.03788840845227241,0.01261371034941993,-0.39482249408742576,-0.4196595448369852,-0.39924728065151127,-0.39572564333151566,-0.39763097190477514,-0.4014158616624276,0.009248447630103285,14,33.35571646910096,10,0.25,77,"(0.5, 99.5)"
16,"{'f_select__percentile': 0.22779309116321977, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 93, 'scaler__quantile_range': (0.1, 99.9)}",1.0099088964052498,0.03908946143165307,0.02976498380303383,0.009476988219776949,-0.5156902741325671,-0.5149610211980233,-0.519343627823106,-0.5178081395164988,-0.5203959611819367,-0.5176394129837226,0.0020738271630958275,20,0.22779309116321977,23,0.25,93,"(0.1, 99.9)"
17,"{'f_select__percentile': 74.47079239222762, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 96, 'scaler__quantile_range': (1, 99)}",105.45850958814844,7.833864869615243,0.047331031318753956,0.004589395277946289,-0.3862361088478913,-0.4058923544596797,-0.38985265667481267,-0.3851187096934882,-0.3997898880682419,-0.39337650829265297,0.00811611922892612,5,74.47079239222762,18,auto,96,"(1, 99)"
18,"{'f_select__percentile': 36.920988906165206, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 93, 'scaler__quantile_range': (1, 99)}",11.554783665016293,0.517080142927435,0.0650416798889637,0.015526947106486597,-0.38123745060027886,-0.4142197729674139,-0.39430226620961745,-0.3801463358508584,-0.3955231370003335,-0.3930834114280466,0.012343956030339935,4,36.920988906165206,14,0.25,93,"(1, 99)"
19,"{'f_select__percentile': 75.69290973838427, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 79, 'scaler__quantile_range': (0.5, 99.5)}",24.01122225187719,1.1856567073454851,0.06898793391883373,0.038431707164363844,-0.3755580596074703,-0.4040481534298676,-0.389577174878799,-0.3817493042921607,-0.39766373535352784,-0.3897164396068376,0.010320913770588793,2,75.69290973838427,24,0.25,79,"(0.5, 99.5)"
