,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 20.93137340519894, 'model__regressor__max_depth': 20, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 76, 'scaler__quantile_range': (5, 95)}",20.716603330150246,0.6815793255259281,0.09744962230324745,0.07736012266333663,-0.1145333213223538,-0.11876138107963598,-0.11516214119209887,-0.11387284377309669,-0.11364706177917351,-0.11519545883293623,0.0018602449197039155,11,20.93137340519894,20,0.25,76,"(5, 95)"
1,"{'f_select__percentile': 22.27660161523709, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 85, 'scaler__quantile_range': (10, 90)}",85.52252418771386,0.9510593809329531,0.07002975977957249,0.016994652627464774,-0.11673002833273807,-0.12055854568070418,-0.11644690518286854,-0.11492974767520388,-0.11505040858167823,-0.1167432462625978,0.0020395800782928328,14,22.27660161523709,15,auto,85,"(10, 90)"
2,"{'f_select__percentile': 34.32062819105901, 'model__regressor__max_depth': 12, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 95, 'scaler__quantile_range': (1, 99)}",32.632839146628974,0.9701495201978707,0.07851801663637162,0.024311392088303383,-0.11826026407447161,-0.12211825870984859,-0.11974335284493848,-0.11606077232624776,-0.11958327986740391,-0.1191531552847804,0.0019842674459114237,15,34.32062819105901,12,0.25,95,"(1, 99)"
3,"{'f_select__percentile': 44.32294119584562, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 92, 'scaler__quantile_range': (0.5, 99.5)}",152.89326016940177,4.048116077658395,0.06912349425256252,0.021717213487545132,-0.1124368168011752,-0.11687296755921377,-0.11359653228571723,-0.11249497147442682,-0.11139892063712166,-0.11336017981975922,0.0018890825655711529,4,44.32294119584562,13,auto,92,"(0.5, 99.5)"
4,"{'f_select__percentile': 42.84135302945585, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 90, 'scaler__quantile_range': (0.5, 99.5)}",200.8940937373787,6.403384544313164,0.08668417185544967,0.016638244691442854,-0.1128806345700946,-0.11726954744059115,-0.11508429247003205,-0.11203647849830514,-0.11180778886664622,-0.11381588973491125,0.0020789504390330235,7,42.84135302945585,23,auto,90,"(0.5, 99.5)"
5,"{'f_select__percentile': 9.320098050596325, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 61, 'scaler__quantile_range': (0.1, 99.9)}",8.846379813179373,0.6235937738541208,0.0809147410094738,0.021881427812214322,-0.15267481997101148,-0.15375619811362126,-0.15583451169049287,-0.15482040825909324,-0.15321381203335865,-0.15406000958391677,0.0011361662000383941,20,9.320098050596325,18,0.25,61,"(0.1, 99.9)"
6,"{'f_select__percentile': 66.5774966024102, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 75, 'scaler__quantile_range': (0.5, 99.5)}",60.89743975140154,1.0386071013503102,0.10097539499402046,0.03900258826400747,-0.11098817915963699,-0.11703075733943279,-0.11310184091931788,-0.11285787640596237,-0.11138649355858281,-0.11307314821327467,0.0021402030759394538,2,66.5774966024102,19,0.25,75,"(0.5, 99.5)"
7,"{'f_select__percentile': 80.50731429529793, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 72, 'scaler__quantile_range': (10, 90)}",66.80349567467347,1.6154308014828402,0.06336428392678499,0.009904410253601618,-0.11181582212743683,-0.11785975606686049,-0.11388582157701103,-0.11253982938737934,-0.11074127088958609,-0.1133686849736874,0.002467328600813542,5,80.50731429529793,15,0.25,72,"(10, 90)"
8,"{'f_select__percentile': 68.14297323457833, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 71, 'scaler__quantile_range': (0.5, 99.5)}",201.14728716611862,7.325704040266954,0.07398437634110451,0.008192850739393362,-0.11401088879522635,-0.11857353786511898,-0.11491451337182333,-0.11419113867773552,-0.11369915767588308,-0.11507794434063262,0.001792898802018462,10,68.14297323457833,14,auto,71,"(0.5, 99.5)"
9,"{'f_select__percentile': 40.03838617270935, 'model__regressor__max_depth': 16, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 90, 'scaler__quantile_range': (1, 99)}",40.57774309143424,0.8941369066809017,0.15465511549264194,0.04969677469090292,-0.11248612229287398,-0.11768907977521446,-0.11459969135196364,-0.11356814963981861,-0.11204935033969558,-0.11407862153603408,0.0020110431875842165,8,40.03838617270935,16,0.25,90,"(1, 99)"
