,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 20.51690209824566, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 58, 'scaler__quantile_range': (1, 99)}",12.543120301887393,0.2101737966278393,0.0475905722938478,0.009414917814647388,-0.19479102329770237,-0.20107838023314856,-0.19202252099750508,-0.19491304212432695,-0.1908219865478618,-0.19472539064010894,0.003548015369381109,11,20.51690209824566,23,0.25,58,"(1, 99)"
1,"{'f_select__percentile': 47.91587696781497, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 50, 'scaler__quantile_range': (0.1, 99.9)}",78.29731670701877,5.182086389702377,0.7385862790048122,0.8500823095809691,-0.19724445030990725,-0.19831514661865066,-0.19560255328204398,-0.19593240965677633,-0.19456652314229925,-0.1963322166019355,0.0013095120722119917,14,47.91587696781497,22,auto,50,"(0.1, 99.9)"
2,"{'f_select__percentile': 26.617453284990788, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 91, 'scaler__quantile_range': (5, 95)}",69.59196824552491,1.191951042335906,0.058352507557719945,0.01570864265421733,-0.19389387252293325,-0.19876905305386625,-0.1974249646196184,-0.19608775063040348,-0.1917608593759206,-0.1955873000405484,0.0025004143277923122,13,26.617453284990788,10,auto,91,"(5, 95)"
3,"{'f_select__percentile': 4.262415791097107, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 63, 'scaler__quantile_range': (1, 99)}",8.183700576238333,0.13584997956451053,0.039021451584994794,0.005429883443723635,-0.20255871690838292,-0.2018606512451515,-0.19597302605519343,-0.19946580842333325,-0.19426956430321443,-0.19882555338705513,0.0032388950000815687,18,4.262415791097107,11,auto,63,"(1, 99)"
4,"{'f_select__percentile': 13.87893374967093, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 71, 'scaler__quantile_range': (5, 95)}",36.60704349782318,1.9511821903264992,0.06488276813179254,0.0164397967029936,-0.19330244705514743,-0.19734474085406914,-0.1924278240537116,-0.1921615185338734,-0.1921414335978056,-0.19347559281892143,0.001980145318539147,6,13.87893374967093,22,auto,71,"(5, 95)"
5,"{'f_select__percentile': 22.620107121240085, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 57, 'scaler__quantile_range': (5, 95)}",44.06773454276845,2.2427015918178754,0.05522274374961853,0.006459326222759827,-0.19305782084158563,-0.19699828932978086,-0.19627289255203953,-0.19630456800875903,-0.18861783208912947,-0.1942502805642589,0.0031307840662784855,9,22.620107121240085,17,auto,57,"(5, 95)"
6,"{'f_select__percentile': 19.204695727224863, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 70, 'scaler__quantile_range': (10, 90)}",14.206254670955241,0.6360408564329261,0.0737602736800909,0.021462898416638815,-0.19666939629276745,-0.19907715365271716,-0.19896281647845526,-0.19879307257363166,-0.1929659601843349,-0.1972936798363813,0.0023381129952816378,15,19.204695727224863,21,0.25,70,"(10, 90)"
7,"{'f_select__percentile': 83.76955383158202, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 78, 'scaler__quantile_range': (1, 99)}",224.78792644208298,10.08033723493897,0.08942561000585555,0.02817679590878184,-0.19389704980231157,-0.19749947228616288,-0.1930998682519111,-0.19003477630228882,-0.1900965007938477,-0.19292553348730443,0.002766046123243231,4,83.76955383158202,22,auto,78,"(1, 99)"
8,"{'f_select__percentile': 66.3300481695732, 'model__regressor__max_depth': 12, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 81, 'scaler__quantile_range': (5, 95)}",41.81080402284861,4.013297620389193,0.08828525915741921,0.041887538732676956,-0.19463068875821335,-0.19813677291922377,-0.19324410529298416,-0.19218813440468105,-0.1904009831177996,-0.1937201368985804,0.0026048492462803817,7,66.3300481695732,12,0.25,81,"(5, 95)"
9,"{'f_select__percentile': 96.31333936543895, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 81, 'scaler__quantile_range': (1, 99)}",255.37232421133666,13.041281524717808,0.1132997740060091,0.09606607023962932,-0.1939943820141517,-0.19829158525288731,-0.19299672126477346,-0.1923462641901421,-0.18922467970682047,-0.193370726485755,0.0029319926336104597,5,96.31333936543895,24,auto,81,"(1, 99)"
