,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__alpha,param_model__regressor__l1_ratio,param_scaler__quantile_range
0,"{'f_select__percentile': 60.465608181556554, 'model__regressor__alpha': 2.1949477406820894, 'model__regressor__l1_ratio': 0.0745454816780089, 'scaler__quantile_range': (10, 90)}",5.023074431531131,2.4616419337743403,0.3464531730860472,0.2993665733718134,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,60.465608181556554,2.1949477406820894,0.0745454816780089,"(10, 90)"
1,"{'f_select__percentile': 86.40624657981868, 'model__regressor__alpha': 0.05660635340720499, 'model__regressor__l1_ratio': 0.03659364466570181, 'scaler__quantile_range': (10, 90)}",9.986914185807109,2.3288549975052124,0.6237927664071321,0.9618151902066313,-0.28624511400981745,-0.28604686179023386,-0.28704723396363346,-0.28557533401787705,-0.2881166111708794,-0.2866062256580658,0.0008923822820826873,1,86.40624657981868,0.05660635340720499,0.03659364466570181,"(10, 90)"
2,"{'f_select__percentile': 38.97325430807034, 'model__regressor__alpha': 0.6423538515713378, 'model__regressor__l1_ratio': 0.6294726438337875, 'scaler__quantile_range': (1, 99)}",4.7356841140426695,2.6454195891071794,0.17152455113828183,0.07717884941293415,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,38.97325430807034,0.6423538515713378,0.6294726438337875,"(1, 99)"
3,"{'f_select__percentile': 45.75509277048347, 'model__regressor__alpha': 1.0911688809656366, 'model__regressor__l1_ratio': 0.8049986575054767, 'scaler__quantile_range': (0.1, 99.9)}",4.685109744779766,1.1238131120173342,0.35465346127748487,0.24310199415665262,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,45.75509277048347,1.0911688809656366,0.8049986575054767,"(0.1, 99.9)"
4,"{'f_select__percentile': 4.362987487313874, 'model__regressor__alpha': 5.558353363959943, 'model__regressor__l1_ratio': 0.36926007075229617, 'scaler__quantile_range': (1, 99)}",3.8083430122584105,1.809117031078275,0.1456539338454604,0.07794455691795982,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,4.362987487313874,5.558353363959943,0.36926007075229617,"(1, 99)"
5,"{'f_select__percentile': 94.62882702412631, 'model__regressor__alpha': 0.3681345433007889, 'model__regressor__l1_ratio': 0.5058064475019152, 'scaler__quantile_range': (5, 95)}",6.9974186140112575,6.620882019988885,0.2660865887533873,0.08374718786437416,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,94.62882702412631,0.3681345433007889,0.5058064475019152,"(5, 95)"
6,"{'f_select__percentile': 22.92961841247012, 'model__regressor__alpha': 0.01660287205205719, 'model__regressor__l1_ratio': 0.8127620212655486, 'scaler__quantile_range': (1, 99)}",3.4415786609053614,1.6136107928658325,0.14727944750338792,0.02874139995830031,-0.3057810665561488,-0.30578359262281635,-0.30578885721078997,-0.3057915119694775,-0.3057863987105474,-0.3057862853368919,3.699525889576277e-06,12,22.92961841247012,0.01660287205205719,0.8127620212655486,"(1, 99)"
7,"{'f_select__percentile': 32.07878863378364, 'model__regressor__alpha': 3.2468749400913173, 'model__regressor__l1_ratio': 0.9445695313580287, 'scaler__quantile_range': (0.5, 99.5)}",3.7321585627272724,1.372317643408031,0.12454623002558947,0.06909000861613981,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,32.07878863378364,3.2468749400913173,0.9445695313580287,"(0.5, 99.5)"
8,"{'f_select__percentile': 91.31847971720461, 'model__regressor__alpha': 3.927305473878888, 'model__regressor__l1_ratio': 0.8482576973693924, 'scaler__quantile_range': (5, 95)}",4.349408544227481,2.9322545700209184,0.15951718688011168,0.04627579466008458,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,91.31847971720461,3.927305473878888,0.8482576973693924,"(5, 95)"
9,"{'f_select__percentile': 95.15005476924382, 'model__regressor__alpha': 1.790151629632871, 'model__regressor__l1_ratio': 0.6571001630789173, 'scaler__quantile_range': (10, 90)}",5.287406996171922,1.493592772159102,0.33932523149996996,0.19537693587220925,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,95.15005476924382,1.790151629632871,0.6571001630789173,"(10, 90)"
10,"{'f_select__percentile': 72.47543623387425, 'model__regressor__alpha': 2.0397709103910184, 'model__regressor__l1_ratio': 0.2173714608441849, 'scaler__quantile_range': (0.5, 99.5)}",5.5424452623352405,4.239649482370885,0.21146591305732726,0.06208219377783974,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,72.47543623387425,2.0397709103910184,0.2173714608441849,"(0.5, 99.5)"
11,"{'f_select__percentile': 72.20740860035828, 'model__regressor__alpha': 3.269854043388334, 'model__regressor__l1_ratio': 0.12776291247338922, 'scaler__quantile_range': (1, 99)}",5.484614207595587,4.494852325316525,0.20860630683600903,0.10283609592306545,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,72.20740860035828,3.269854043388334,0.12776291247338922,"(1, 99)"
12,"{'f_select__percentile': 21.949680868322297, 'model__regressor__alpha': 0.9050180627436326, 'model__regressor__l1_ratio': 0.6852612232144105, 'scaler__quantile_range': (10, 90)}",4.476697523333132,2.105682217328484,0.13299252465367317,0.03446348760495953,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,21.949680868322297,0.9050180627436326,0.6852612232144105,"(10, 90)"
13,"{'f_select__percentile': 49.07110789696147, 'model__regressor__alpha': 0.9688550790204621, 'model__regressor__l1_ratio': 0.17332195230603753, 'scaler__quantile_range': (0.1, 99.9)}",3.8102593695744873,1.760473215964075,0.5022202508524061,0.4691499407606861,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,49.07110789696147,0.9688550790204621,0.17332195230603753,"(0.1, 99.9)"
14,"{'f_select__percentile': 21.389160917521487, 'model__regressor__alpha': 0.669435180457451, 'model__regressor__l1_ratio': 0.5766595942092845, 'scaler__quantile_range': (0.1, 99.9)}",5.434727154672146,1.614716094469483,0.37347314357757566,0.4129018839279886,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,21.389160917521487,0.669435180457451,0.5766595942092845,"(0.1, 99.9)"
15,"{'f_select__percentile': 30.667570940875077, 'model__regressor__alpha': 0.44782070648130123, 'model__regressor__l1_ratio': 0.5517712785778506, 'scaler__quantile_range': (0.5, 99.5)}",3.863534838706255,0.5475688321430062,0.5766037294641138,0.5235709489276981,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,30.667570940875077,0.44782070648130123,0.5517712785778506,"(0.5, 99.5)"
16,"{'f_select__percentile': 61.382608556694265, 'model__regressor__alpha': 3.416710387230567, 'model__regressor__l1_ratio': 0.9334768753832811, 'scaler__quantile_range': (0.1, 99.9)}",5.508457742445171,1.788538210122055,0.16675319359637797,0.04475119899378308,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,61.382608556694265,3.416710387230567,0.9334768753832811,"(0.1, 99.9)"
17,"{'f_select__percentile': 77.2287810535485, 'model__regressor__alpha': 9.339542156202372, 'model__regressor__l1_ratio': 0.9989697491605645, 'scaler__quantile_range': (10, 90)}",4.280899634212256,1.839980824382219,0.5359589949250221,0.6081345669398178,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,77.2287810535485,9.339542156202372,0.9989697491605645,"(10, 90)"
18,"{'f_select__percentile': 72.81620265255636, 'model__regressor__alpha': 1.4020161139340712, 'model__regressor__l1_ratio': 0.5765231059501599, 'scaler__quantile_range': (0.1, 99.9)}",4.571766712050885,2.12305904252447,0.20827434957027435,0.11916119715814037,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,72.81620265255636,1.4020161139340712,0.5765231059501599,"(0.1, 99.9)"
19,"{'f_select__percentile': 93.70910934910107, 'model__regressor__alpha': 0.6843460715713944, 'model__regressor__l1_ratio': 0.8944025037434377, 'scaler__quantile_range': (0.5, 99.5)}",6.156514201313257,2.1349135742386904,0.1816200537607074,0.03067674279325805,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,93.70910934910107,0.6843460715713944,0.8944025037434377,"(0.5, 99.5)"
20,"{'f_select__percentile': 52.03525844612011, 'model__regressor__alpha': 0.5970969885519762, 'model__regressor__l1_ratio': 0.0032015494727432037, 'scaler__quantile_range': (0.1, 99.9)}",5.001576879993081,1.929054165676752,0.3287679719273001,0.3894428231429217,-0.3038012202834975,-0.3037781850916714,-0.30388352577443667,-0.3037570226713351,-0.3039560070971768,-0.3038351916819785,7.408971647473684e-05,7,52.03525844612011,0.5970969885519762,0.0032015494727432037,"(0.1, 99.9)"
