,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__alpha,param_model__regressor__l1_ratio,param_scaler__quantile_range
0,"{'f_select__percentile': 42.49598198508585, 'model__regressor__alpha': 1.9410036632614456, 'model__regressor__l1_ratio': 0.9379777993469686, 'scaler__quantile_range': (10, 90)}",5.593097313353792,3.2290395229575006,0.3070212222635746,0.1266435093995485,-1.0880596738631223,-1.0879718574199722,-1.0880443424656574,-1.0878206102771109,-1.088084075232091,-1.087996112385828,9.538557099355925e-05,36,42.49598198508585,1.9410036632614456,0.9379777993469686,"(10, 90)"
1,"{'f_select__percentile': 42.51370007925585, 'model__regressor__alpha': 1.9447766863396987, 'model__regressor__l1_ratio': 0.5697450281988345, 'scaler__quantile_range': (1, 99)}",5.554724800394615,2.6282258834440855,0.2133957898709923,0.09776071035041972,-1.0880596738631223,-1.0879718574199722,-1.0880443424656574,-1.0878206102771109,-1.088084075232091,-1.087996112385828,9.538557099355925e-05,36,42.51370007925585,1.9447766863396987,0.5697450281988345,"(1, 99)"
2,"{'f_select__percentile': 13.000081020906219, 'model__regressor__alpha': 0.5616061384112411, 'model__regressor__l1_ratio': 0.4000297130036704, 'scaler__quantile_range': (0.5, 99.5)}",5.673937855387339,3.746590233782036,0.2547148626297712,0.07545015877049556,-1.0880596738631223,-1.0879718574199722,-1.0880443424656574,-1.0878206102771109,-1.088084075232091,-1.087996112385828,9.538557099355925e-05,36,13.000081020906219,0.5616061384112411,0.4000297130036704,"(0.5, 99.5)"
3,"{'f_select__percentile': 55.28044616063967, 'model__regressor__alpha': 0.43017937986261906, 'model__regressor__l1_ratio': 0.2943086637207115, 'scaler__quantile_range': (1, 99)}",5.331435065111146,2.762133774004975,0.35368959595798516,0.1862606677763927,-1.0880596738631223,-1.0879718574199722,-1.0880443424656574,-1.0878206102771109,-1.088084075232091,-1.087996112385828,9.538557099355925e-05,36,55.28044616063967,0.43017937986261906,0.2943086637207115,"(1, 99)"
4,"{'f_select__percentile': 81.09787166045807, 'model__regressor__alpha': 1.8386380813750753, 'model__regressor__l1_ratio': 0.7362619805103107, 'scaler__quantile_range': (5, 95)}",4.845505372167099,3.7385050174652776,0.30907932221889495,0.06492119473880711,-1.0880596738631223,-1.0879718574199722,-1.0880443424656574,-1.0878206102771109,-1.088084075232091,-1.087996112385828,9.538557099355925e-05,36,81.09787166045807,1.8386380813750753,0.7362619805103107,"(5, 95)"
5,"{'f_select__percentile': 53.44279786179841, 'model__regressor__alpha': 1.3664533293705468, 'model__regressor__l1_ratio': 0.5881454136915877, 'scaler__quantile_range': (5, 95)}",4.556944770773407,2.533903838943146,0.1765661843121052,0.062419157333814375,-1.0880596738631223,-1.0879718574199722,-1.0880443424656574,-1.0878206102771109,-1.088084075232091,-1.087996112385828,9.538557099355925e-05,36,53.44279786179841,1.3664533293705468,0.5881454136915877,"(5, 95)"
6,"{'f_select__percentile': 72.28511522896038, 'model__regressor__alpha': 1.2684460473590775, 'model__regressor__l1_ratio': 0.0766081851341961, 'scaler__quantile_range': (0.5, 99.5)}",4.599230262916535,1.866247304653821,1.071427819505334,1.5742605922474786,-1.0880596738631223,-1.0879718574199722,-1.0880443424656574,-1.0878206102771109,-1.088084075232091,-1.087996112385828,9.538557099355925e-05,36,72.28511522896038,1.2684460473590775,0.0766081851341961,"(0.5, 99.5)"
7,"{'f_select__percentile': 45.58345773079818, 'model__regressor__alpha': 1.4136504887217305, 'model__regressor__l1_ratio': 0.8763316098845727, 'scaler__quantile_range': (0.5, 99.5)}",4.757216560718371,2.7217499646061514,0.3038901659776457,0.122123182488332,-1.0880596738631223,-1.0879718574199722,-1.0880443424656574,-1.0878206102771109,-1.088084075232091,-1.087996112385828,9.538557099355925e-05,36,45.58345773079818,1.4136504887217305,0.8763316098845727,"(0.5, 99.5)"
8,"{'f_select__percentile': 90.12166690642114, 'model__regressor__alpha': 0.9966334368435964, 'model__regressor__l1_ratio': 0.3428912789337236, 'scaler__quantile_range': (5, 95)}",3.1929724347486625,0.6100275177119675,0.5550403598346747,0.2866687747729854,-1.0880596738631223,-1.0879718574199722,-1.0880443424656574,-1.0878206102771109,-1.088084075232091,-1.087996112385828,9.538557099355925e-05,36,90.12166690642114,0.9966334368435964,0.3428912789337236,"(5, 95)"
9,"{'f_select__percentile': 66.83448881694056, 'model__regressor__alpha': 2.4233148607111454, 'model__regressor__l1_ratio': 0.77677869956053, 'scaler__quantile_range': (0.1, 99.9)}",2.5043060786556453,0.29003878015250906,0.41627482920885084,0.10820859386428175,-1.0880596738631223,-1.0879718574199722,-1.0880443424656574,-1.0878206102771109,-1.088084075232091,-1.087996112385828,9.538557099355925e-05,36,66.83448881694056,2.4233148607111454,0.77677869956053,"(0.1, 99.9)"
