,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 69.7321038294555, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 51, 'scaler__quantile_range': (0.1, 99.9)}",1033.5493156332523,72.07254325057345,0.8620968906208872,0.8031465103590479,-0.22118032113139255,-0.21852254160911713,-0.22025459338540798,-0.21934194034011684,-0.2171684545509741,-0.2192935980640495,0.00138538493154753,21,69.7321038294555,19,auto,51,"(0.1, 99.9)"
1,"{'f_select__percentile': 3.6052339055059557, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 58, 'scaler__quantile_range': (1, 99)}",46.067241897620264,2.373555874938343,0.42838920652866364,0.27006318356149106,-0.28241144323630163,-0.2754797319676513,-0.27708857339757986,-0.2782896484652195,-0.2789137795358826,-0.2784366940144021,0.0023069326665058525,91,3.6052339055059557,15,auto,58,"(1, 99)"
2,"{'f_select__percentile': 0.5582869137708002, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 89, 'scaler__quantile_range': (5, 95)}",33.913876043260096,4.007259046491767,1.7625052409246564,2.606818854803315,-0.30449440180781273,-0.307132114699868,-0.3038138214189054,-0.3033284629564673,-0.30478517566802793,-0.30471079211484847,0.0013138056998356262,98,0.5582869137708002,22,auto,89,"(5, 95)"
3,"{'f_select__percentile': 56.81814606081561, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 60, 'scaler__quantile_range': (5, 95)}",731.5325075630099,59.61254613080616,0.18860092721879482,0.0386488072781225,-0.22928594207576555,-0.2277308979722677,-0.2306477933284143,-0.22909161755547675,-0.2275994199967715,-0.22887114031098674,0.0011220081610283082,62,56.81814606081561,10,auto,60,"(5, 95)"
4,"{'f_select__percentile': 32.937382795421655, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 93, 'scaler__quantile_range': (0.5, 99.5)}",181.386449736543,12.816856762306104,1.6434966241009534,1.4832597172449984,-0.22606075183605936,-0.22404479041443312,-0.2263032963504701,-0.22497001880620593,-0.22234035646205141,-0.22474386221993992,0.0014479429846940125,46,32.937382795421655,14,0.25,93,"(0.5, 99.5)"
5,"{'f_select__percentile': 18.22808358570318, 'model__regressor__max_depth': 12, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 89, 'scaler__quantile_range': (0.1, 99.9)}",351.6987667793408,31.950667931595362,0.588408537209034,0.7161169437234522,-0.26382699664618287,-0.2636791668817407,-0.2619246570580084,-0.26231883390985367,-0.2591647936750123,-0.26218291391181364,0.0016814275143611785,88,18.22808358570318,12,auto,89,"(0.1, 99.9)"
6,"{'f_select__percentile': 12.923134572440686, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 67, 'scaler__quantile_range': (5, 95)}",68.53313874658197,5.392377524164589,0.32771230135113,0.12959780938100887,-0.24425333079830389,-0.24393879300023513,-0.24521539747176813,-0.24458687467967685,-0.24422238816185535,-0.24444335401635464,0.0004372995257016255,78,12.923134572440686,19,0.25,67,"(5, 95)"
7,"{'f_select__percentile': 55.74262158635903, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 70, 'scaler__quantile_range': (0.1, 99.9)}",183.5420332018286,11.681769077332296,0.5591544898226857,0.7481293545078439,-0.22673496619658545,-0.22507654657174753,-0.22639271257703797,-0.22555290314033086,-0.22329138080458463,-0.22540972142753113,0.0012117293462748525,50,55.74262158635903,10,0.25,70,"(0.1, 99.9)"
8,"{'f_select__percentile': 77.89176527775638, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 82, 'scaler__quantile_range': (1, 99)}",490.06012269966305,98.4150574333306,1.8750959860160947,1.8828001441419189,-0.22014566936126245,-0.2183348148529021,-0.22005068459247049,-0.21878836362834844,-0.21561181057611475,-0.21858629162906154,0.0016448523725621986,15,77.89176527775638,17,0.25,82,"(1, 99)"
9,"{'f_select__percentile': 83.49420693840311, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 83, 'scaler__quantile_range': (5, 95)}",552.4603794196621,40.98696051561061,0.493055384978652,0.11822723029829094,-0.2203442158322666,-0.21900946232731894,-0.22246693237823814,-0.2208072399893301,-0.21814203205713265,-0.2201539793260201,0.0014946825709782675,30,83.49420693840311,19,0.25,83,"(5, 95)"
