,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 79.00002918380761, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 98, 'scaler__quantile_range': (0.5, 99.5)}",519.6023989412934,43.57525143581229,0.4873238715343177,0.24089346138657433,-0.1745170477528484,-0.17235900636886545,-0.172825571965602,-0.17415941369385843,-0.17299563209590543,-0.17337133890773768,0.000824327293194454,43,79.00002918380761,11,0.25,98,"(0.5, 99.5)"
1,"{'f_select__percentile': 78.45697017449635, 'model__regressor__max_depth': 12, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 98, 'scaler__quantile_range': (10, 90)}",2329.4378885447745,200.4886972205286,0.6946210011607036,0.6152437313851061,-0.17433316773893767,-0.1720474046568666,-0.1727612042827373,-0.1744535918459161,-0.1729047246702605,-0.17330002340761166,0.0009395522388177407,42,78.45697017449635,12,auto,98,"(10, 90)"
2,"{'f_select__percentile': 75.39974133089662, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 80, 'scaler__quantile_range': (1, 99)}",2594.1985322391147,140.6734567084704,0.6197818901389838,0.028677116654726203,-0.1733167326465426,-0.1719271285219281,-0.17260816046123065,-0.17353425796406685,-0.17292499483303994,-0.17286225412849204,0.0005658831758920341,34,75.39974133089662,23,auto,80,"(1, 99)"
3,"{'f_select__percentile': 69.63917397723614, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 86, 'scaler__quantile_range': (0.5, 99.5)}",2461.247844406217,331.2397208145975,0.5394330643117428,0.07231574895303747,-0.17292505368941527,-0.1709220151998451,-0.17183580390357506,-0.17309528705969354,-0.1717365274048524,-0.17210294187170025,0.0008075714348377467,19,69.63917397723614,18,auto,86,"(0.5, 99.5)"
4,"{'f_select__percentile': 1.5198976056540636, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 77, 'scaler__quantile_range': (0.1, 99.9)}",51.2213340671733,7.85634514354493,0.9297150591388345,0.9734963006423943,-0.20943779729789577,-0.21011532613529604,-0.2136431642901695,-0.21077292549421783,-0.20925293422563765,-0.21064444627508463,0.0015925532009644942,98,1.5198976056540636,22,auto,77,"(0.1, 99.9)"
5,"{'f_select__percentile': 0.3492083967918669, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 62, 'scaler__quantile_range': (10, 90)}",10.991820514388383,1.2012590869908206,0.34435228928923606,0.26950061238875106,-0.21216628809701651,-0.21206013431262966,-0.21406574261191938,-0.2131911966551326,-0.21241958360351093,-0.21278059341106698,0.0007545847054552855,99,0.3492083967918669,21,0.25,62,"(10, 90)"
6,"{'f_select__percentile': 34.04507404427448, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 98, 'scaler__quantile_range': (0.5, 99.5)}",1320.9101903343574,287.5202987700378,1.0865788155351765,0.8362213880556286,-0.17308598648714782,-0.17137889568775883,-0.17172487118913224,-0.17383268803708682,-0.17264721032805544,-0.17253392897927192,0.0008936553088371911,26,34.04507404427448,18,auto,98,"(0.5, 99.5)"
7,"{'f_select__percentile': 62.87942987157501, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 75, 'scaler__quantile_range': (0.5, 99.5)}",1532.5320516422391,66.00278410535776,0.5378478977829217,0.33033245075003603,-0.1727297240967039,-0.1703455910893264,-0.1711153666032316,-0.17300022857912986,-0.17182892200615768,-0.17180396617385635,0.0009889166267658188,10,62.87942987157501,15,auto,75,"(0.5, 99.5)"
8,"{'f_select__percentile': 88.87263480522964, 'model__regressor__max_depth': 20, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 82, 'scaler__quantile_range': (0.1, 99.9)}",739.8474158645607,45.351403727605344,0.5485615794546902,0.039014555686867014,-0.17299594114955513,-0.1714806318042898,-0.17104080612973246,-0.17326900999242648,-0.1719534090288357,-0.1721479619679483,0.0008584677021217426,20,88.87263480522964,20,0.25,82,"(0.1, 99.9)"
9,"{'f_select__percentile': 91.15236058595009, 'model__regressor__max_depth': 20, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 97, 'scaler__quantile_range': (0.5, 99.5)}",3720.3046248113737,37.935099161032426,0.914644454792142,0.36850662195153205,-0.17385972801155233,-0.17166963480755704,-0.17212359843018415,-0.1733749583218116,-0.17214427376813052,-0.17263444458100008,0.0008344814809519944,29,91.15236058595009,20,auto,97,"(0.5, 99.5)"
10,"{'f_select__percentile': 42.48022658217614, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 67, 'scaler__quantile_range': (0.5, 99.5)}",907.0492722471361,63.73654616656358,0.3356473922962323,0.058319099366181446,-0.17276380193453145,-0.17030884579745723,-0.17088601666232658,-0.17276476223725706,-0.17108515850083714,-0.17156172277549298,0.0010144692808579563,5,42.48022658217614,15,auto,67,"(0.5, 99.5)"
