,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 28.056578674609113, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 71, 'scaler__quantile_range': (5, 95)}",729.8376188050955,14.346119314251883,0.5499064583331347,0.2697769462642018,-0.7280304445081656,-0.7240220689713983,-0.7331296838623105,-0.736807416645426,-0.73558918485958,-0.7315156105514675,0.004806318789616078,62,28.056578674609113,22,auto,71,"(5, 95)"
1,"{'f_select__percentile': 19.807958619124953, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 78, 'scaler__quantile_range': (10, 90)}",144.1539717534557,52.936987563347294,0.413860503397882,0.13548122797319165,-0.7734360204516951,-0.7725547386652588,-0.7853624871464655,-0.7809420373404039,-0.7795707943149137,-0.7783730694012169,0.004798215384561572,80,19.807958619124953,14,0.25,78,"(10, 90)"
2,"{'f_select__percentile': 68.15917226204431, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (0.1, 99.9)}",320.2367941047996,22.453675483527242,0.3933766294270754,0.06983810728387002,-0.6935380253065522,-0.6957118439075506,-0.7028270023402459,-0.7061317235881661,-0.7065013985141634,-0.7009418270183242,0.005358515319227897,10,68.15917226204431,19,0.25,56,"(0.1, 99.9)"
3,"{'f_select__percentile': 83.41311022821289, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 97, 'scaler__quantile_range': (0.5, 99.5)}",694.6857465282083,78.73417139140061,1.2086002493742853,0.8816700355982818,-0.6924206602292972,-0.6946802424932512,-0.7067530802584497,-0.7086024978972327,-0.706761922610559,-0.7018434552678183,0.0068422837884083544,14,83.41311022821289,17,0.25,97,"(0.5, 99.5)"
4,"{'f_select__percentile': 3.8504826462709807, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 93, 'scaler__quantile_range': (10, 90)}",136.19665972813965,1.5021494266338145,0.43809433467686176,0.07125503127615451,-0.8339235984184605,-0.8472019160348567,-0.8488311190160794,-0.8498724381225239,-0.8435131352428119,-0.8446683297645668,0.005789958016252088,85,3.8504826462709807,22,auto,93,"(10, 90)"
5,"{'f_select__percentile': 55.207301431223755, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 88, 'scaler__quantile_range': (10, 90)}",511.7684209352359,91.99607183942305,2.664195417240262,3.908969994120484,-0.7226586683947411,-0.7192609428248602,-0.7311622080290071,-0.7325240758038672,-0.7341539463055582,-0.7279517782077917,0.005886078714276889,56,55.207301431223755,23,0.25,88,"(10, 90)"
6,"{'f_select__percentile': 98.49944493649248, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 77, 'scaler__quantile_range': (0.5, 99.5)}",739.7709601183421,125.84459407234446,0.867529782652855,0.3399296548733523,-0.6952627740956838,-0.6954575520734296,-0.707444449100015,-0.7055549809604359,-0.7043312118656746,-0.7016100237281706,0.005199042097855082,12,98.49944493649248,21,0.25,77,"(0.5, 99.5)"
7,"{'f_select__percentile': 62.47107635914587, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 92, 'scaler__quantile_range': (0.5, 99.5)}",1738.650340956403,247.31436273444444,0.4632023681886494,0.0375702211981281,-0.6960698997289292,-0.6945173276609735,-0.7053457234151699,-0.7091489718843247,-0.7100920913863884,-0.7030345923909995,0.006535876650802585,17,62.47107635914587,15,auto,92,"(0.5, 99.5)"
8,"{'f_select__percentile': 18.533612423587165, 'model__regressor__max_depth': 23, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 58, 'scaler__quantile_range': (0.1, 99.9)}",95.41606657207012,2.6823923843864703,0.4116001000627875,0.07965724676293226,-0.861880345017376,-0.8590308891674855,-0.8757473304883184,-0.8800741671368206,-0.8699074622333913,-0.8693277976348954,0.007981529441658117,90,18.533612423587165,23,0.25,58,"(0.1, 99.9)"
9,"{'f_select__percentile': 51.63841930585578, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 60, 'scaler__quantile_range': (10, 90)}",1213.9008706269785,47.52152339873347,0.44897630289196966,0.02371823515083734,-0.7301914058092411,-0.7270557185480958,-0.7395823225489141,-0.7389251960363443,-0.7432665082713481,-0.7358040350549429,0.006127683018737229,64,51.63841930585578,21,auto,60,"(10, 90)"
10,"{'f_select__percentile': 1.991636145819331, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 62, 'scaler__quantile_range': (10, 90)}",14.74960698550567,0.6933310230275164,0.3208528093993664,0.012705604198511727,-1.0128388252542766,-1.0249431795548356,-1.0266197049710741,-1.0249923469082662,-1.0260525620746659,-1.0230892096321416,0.005164864357882189,92,1.991636145819331,24,0.25,62,"(10, 90)"
